parent	child	length
ko00001	09180 Brite Hierarchies	1.0
09180 Brite Hierarchies	09182 Protein families: genetic information processing	1.0
09182 Protein families: genetic information processing	04131 Membrane trafficking	1.0
04131 Membrane trafficking	K00844	1.0
ko00001	09160 Human Diseases	1.0
09160 Human Diseases	09167 Endocrine and metabolic disease	1.0
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	1.0
04950 Maturity onset diabetes of the young	K12407	1.0
ko00001	09100 Metabolism	1.0
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	1.0
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	1.0
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	1.0
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	1.0
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	1.0
09183 Protein families: signaling and cellular processes	04147 Exosome	1.0
04147 Exosome	K01810	1.0
09100 Metabolism	09101 Carbohydrate metabolism	1.0
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	1.0
00520 Amino sugar and nucleotide sugar metabolism	K06859	1.0
00520 Amino sugar and nucleotide sugar metabolism	K13810	1.0
00520 Amino sugar and nucleotide sugar metabolism	K15916	1.0
09100 Metabolism	09102 Energy metabolism	1.0
09102 Energy metabolism	00680 Methane metabolism	1.0
00680 Methane metabolism	K24182	1.0
09182 Protein families: genetic information processing	03019 Messenger RNA biogenesis	1.0
03019 Messenger RNA biogenesis	K00850	1.0
00680 Methane metabolism	K16370	1.0
00680 Methane metabolism	K21071	1.0
00680 Methane metabolism	K00918	1.0
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	1.0
00051 Fructose and mannose metabolism	K00895	1.0
04147 Exosome	K03841	1.0
00680 Methane metabolism	K02446	1.0
00680 Methane metabolism	K11532	1.0
00680 Methane metabolism	K01086	1.0
00680 Methane metabolism	K04041	1.0
04147 Exosome	K01623	1.0
00680 Methane metabolism	K11645	1.0
00680 Methane metabolism	K01624	1.0
00680 Methane metabolism	K01622	1.0
09100 Metabolism	09105 Amino acid metabolism	1.0
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	1.0
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305	1.0
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306	1.0
04147 Exosome	K01803	1.0
04147 Exosome	K00134	1.0
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	1.0
00010 Glycolysis / Gluconeogenesis	K10705	1.0
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	1.0
00710 Carbon fixation in photosynthetic organisms	K00150	1.0
04147 Exosome	K00927	1.0
04147 Exosome	K01834	1.0
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	1.0
00260 Glycine, serine and threonine metabolism	K15634	1.0
00260 Glycine, serine and threonine metabolism	K15633	1.0
00260 Glycine, serine and threonine metabolism	K15635	1.0
04147 Exosome	K01689	1.0
04147 Exosome	K00873	1.0
04147 Exosome	K12406	1.0
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	1.0
00720 Carbon fixation pathways in prokaryotes	K01006	1.0
00680 Methane metabolism	K01007	1.0
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	1.0
00620 Pyruvate metabolism	K00163	1.0
09160 Human Diseases	09166 Cardiovascular disease	1.0
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy	1.0
05415 Diabetic cardiomyopathy	K00161	1.0
05415 Diabetic cardiomyopathy	K00162	1.0
00620 Pyruvate metabolism	K00627	1.0
04147 Exosome	K00382	1.0
09100 Metabolism	09112 Not included in regular maps	1.0
09112 Not included in regular maps	09113 Global maps only	1.0
