parent	child
root	K10889
root	K14924
root	K10228
root	K17401
root	K03540
root	K21048
root	K01480
root	K00048
root	K11689
root	K03939
root	K11212
root	K12640
root	K18935
root	K15465
root	K11455
root	K12102
root	K14534
root	K19193
root	K12706
root	K21386
root	K23134
root	K17338
root	K13115
root	K00689
root	K06185
root	K09969
root	K14515
root	K14405
root	K05171
root	K18388
root	K14530
root	K18817
root	K21989
root	K10909
root	K24709
root	K14455
root	K02649
root	K03315
root	K07501
root	K22760
root	K04594
root	K24578
root	K11035
root	K21058
root	K20607
root	K12761
root	K23142
root	K24419
root	K11661
root	K16018
root	K17811
root	K16410
root	K16615
root	K20215
root	K12369
root	K25079
root	K17967
root	K13671
root	K10964
root	K07504
root	K07330
root	K22782
root	K09628
root	K11631
root	K07407
root	K00130
root	K22887
root	K10038
root	K08834
root	K07056
root	K22576
root	K25987
root	K00714
root	K24562
root	K08291
root	K12012
root	K11115
root	K23331
root	K06218
root	K16161
root	K16440
root	K20459
root	K06094
root	K01042
root	K06338
root	K24303
root	K24438
root	K00667
root	K02662
root	K07397
root	K13074
root	K10661
root	K20897
root	K15658
root	K14934
root	K05228
root	K25074
root	K17643
root	K23728
root	K04894
root	K11265
root	K21308
root	K01985
root	K06261
root	K04534
root	K11446
root	K09699
root	K10785
root	K08758
root	K14297
root	K03399
root	K12325
root	K15721
root	K10431
root	K17783
root	K03462
root	K01372
root	K06180
root	K09835
root	K22465
root	K05133
root	K14291
root	K01451
root	K23551
root	K25393
root	K08595
root	K06350
root	K24136
root	K25793
root	K25652
root	K11663
root	K20179
root	K11430
root	K02895
root	K19398
root	K19739
root	K07420
root	K14970
root	K16198
root	K05017
root	K24791
root	K16130
root	K23749
root	K08827
root	K11493
root	K10540
root	K00402
root	K16260
root	K02574
root	K19822
root	K18303
root	K09775
root	K24947
root	K14654
root	K09698
root	K07211
root	K22161
root	K02453
root	K08958
root	K04548
root	K13382
root	K02038
root	K01163
root	K24750
root	K01665
root	K17763
root	K08408
root	K20379
root	K12045
root	K18329
root	K07449
root	K03032
root	K03432
root	K04207
root	K22095
root	K18988
root	K07900
root	K14556
root	K25140
root	K16931
root	K18534
root	K23577
root	K24224
root	K05575
root	K25202
root	K08087
root	K12488
root	K25021
root	K03821
root	K20201
root	K01474
root	K05192
root	K14424
root	K02643
root	K10589
root	K05652
root	K22861
root	K02241
root	K09730
root	K15176
root	K05402
root	K04817
root	K07661
root	K19312
root	K24489
root	K13002
root	K03430
root	K16425
root	K14409
root	K12503
root	K12864
root	K21039
root	K11098
root	K24355
root	K04607
root	K06737
root	K05139
root	K24031
root	K13920
root	K05689
root	K13872
root	K07171
root	K00532
root	K24790
root	K10484
root	K13487
root	K05336
root	K16978
root	K15304
root	K16386
root	K14250
root	K08845
root	K16060
root	K17614
root	K06589
root	K01184
root	K12417
root	K17173
root	K15401
root	K25240
root	K09022
root	K15390
root	K11389
root	K06375
root	K05261
root	K16892
root	K13248
root	K08212
root	K13152
root	K20651
root	K02804
root	K19758
root	K13397
root	K16160
root	K17263
root	K20634
root	K10288
root	K06526
root	K14381
root	K02641
root	K08442
root	K15178
root	K07156
root	K04387
root	K05131
root	K07613
root	K22991
root	K03991
root	K12670
root	K18029
root	K16760
root	K17074
root	K21007
root	K18970
root	K03542
root	K24657
root	K11114
root	K16660
root	K16282
root	K19937
root	K16937
root	K19581
root	K15384
root	K25691
root	K23078
root	K24352
root	K24129
root	K14706
root	K00330
root	K04296
root	K09350
root	K18610
root	K16909
root	K17789
root	K17257
root	K11730
root	K02567
root	K03743
root	K10635
root	K20011
root	K15819
root	K01689
root	K19824
root	K20843
root	K05698
root	K13186
root	K07105
root	K02305
root	K14513
root	K21930
root	K05378
root	K13566
root	K07933
root	K02392
root	K07279
root	K07631
root	K15530
