parent	child	edge_length
ko00001	09180 Brite Hierarchies	4.8090238569593045e-05
09180 Brite Hierarchies	09182 Protein families: genetic information processing	0.0013956585344889099
09182 Protein families: genetic information processing	ko04131	0.17940592669580005
ko04131	K00844	0.2841641799331984
ko00001	09160 Human Diseases	0.012493081220977061
09160 Human Diseases	09167 Endocrine and metabolic disease	0.2026771303032693
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	0.0006780264775378647
04950 Maturity onset diabetes of the young	K12407	0.0006780264775378647
ko00001	09100 Metabolism	0.0006679258843281855
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	0.027087960942258196
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	0.4525122395245306
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	0.007296353116109071
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	0.005698524435314204
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	0.0007601817144390012
09183 Protein families: signaling and cellular processes	ko04147	0.3162851899762268
ko04147	K01810	0.12335044270687594
09100 Metabolism	09101 Carbohydrate metabolism	0.008825886030744964
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	0.4441204401737825
00520 Amino sugar and nucleotide sugar metabolism	K06859	0.034518470637275527
00520 Amino sugar and nucleotide sugar metabolism	K13810	0.014969564912811078
00520 Amino sugar and nucleotide sugar metabolism	K15916	0.018424141655043146
09100 Metabolism	09102 Energy metabolism	0.006819472246034138
09102 Energy metabolism	00680 Methane metabolism	0.4021877591242251
00680 Methane metabolism	K24182	0.0006780264775378647
09182 Protein families: genetic information processing	ko03019	0.38435853025454825
ko03019	K00850	0.06861732872883469
00680 Methane metabolism	K16370	0.05363950231529157
00680 Methane metabolism	K21071	0.04740843174796736
00680 Methane metabolism	K00918	0.07862812526220343
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	0.45414412273104465
00051 Fructose and mannose metabolism	K00895	0.014609840067083055
ko04147	K03841	0.1450486970635466
00680 Methane metabolism	K02446	0.06287152692712897
00680 Methane metabolism	K11532	0.07746817427317344
00680 Methane metabolism	K01086	0.0893879254082182
00680 Methane metabolism	K04041	0.06746927093628723
ko04147	K01623	0.1534498259344805
00680 Methane metabolism	K11645	0.05798194281785065
00680 Methane metabolism	K01624	0.04571005326344344
00680 Methane metabolism	K01622	0.08445833445753136
09100 Metabolism	09105 Amino acid metabolism	0.010519954635732569
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	0.4397325478014873
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305	0.05176162379071789
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306	0.03679751217492554
ko04147	K01803	0.12367986091942304
ko04147	K00134	0.13328654413016922
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	0.45664288107888146
00010 Glycolysis / Gluconeogenesis	K10705	0.0006780264775378647
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	0.44512869151295686
00710 Carbon fixation in photosynthetic organisms	K00150	0.018603756449713883
ko04147	K00927	0.12441782725783218
ko04147	K01834	0.14245715045264684
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	0.43829486094144904
00260 Glycine, serine and threonine metabolism	K15634	0.010892684993958015
00260 Glycine, serine and threonine metabolism	K15633	0.010941250757945269
00260 Glycine, serine and threonine metabolism	K15635	0.014569153618180428
ko04147	K01689	0.13456633154327252
ko04147	K00873	0.12282549354552597
ko04147	K12406	0.0006780264775378647
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	0.45234362280413154
00720 Carbon fixation pathways in prokaryotes	K01006	0.004959262410110658
00680 Methane metabolism	K01007	0.0386363116928099
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	0.4438638207177658
00620 Pyruvate metabolism	K00163	0.006759431561427332
09160 Human Diseases	09166 Cardiovascular disease	0.39949028390794716
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy	0.05989941734072346
05415 Diabetic cardiomyopathy	K00161	0.008415775079505881
05415 Diabetic cardiomyopathy	K00162	0.008677164314301648
00620 Pyruvate metabolism	K00627	0.006836966916921532
ko04147	K00382	0.12526304191918303
09100 Metabolism	09112 Not included in regular maps	0.0006780264775378647
09112 Not included in regular maps	09113 Global maps only	0.0006780264775378647
09113 Global maps only	K13997	0.0006780264775378647
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism	0.012539265147496514
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation	0.4528709477222229
00633 Nitrotoluene degradation	K00169	0.009096178598501781
00633 Nitrotoluene degradation	K00170	0.01161342329147816
00633 Nitrotoluene degradation	K00172	0.011768282697859692
00633 Nitrotoluene degradation	K00189	0.03444357828168787
00633 Nitrotoluene degradation	K00171	0.02648932998387681
00720 Carbon fixation pathways in prokaryotes	K03737	0.006803139266190833
00720 Carbon fixation pathways in prokaryotes	K00174	0.006868539109715949
00720 Carbon fixation pathways in prokaryotes	K00175	0.008975301755179743
ko04147	K00016	0.13963603979187342
00010 Glycolysis / Gluconeogenesis	K01568	0.005530786739059846
09167 Endocrine and metabolic disease	04936 Alcoholic liver disease	0.23334743889208148
04936 Alcoholic liver disease	K13951	0.0006780264775378647
04936 Alcoholic liver disease	K13980	0.0006780264775378647
04936 Alcoholic liver disease	K00121	0.011157833981625924
04936 Alcoholic liver disease	K13952	0.0006780264775378647
09160 Human Diseases	09174 Infectious disease: parasitic	0.43750183908194834
09174 Infectious disease: parasitic	05146 Amoebiasis	0.0022102561683433244
05146 Amoebiasis	K04072	0.006446513580066863
09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450	0.4371576763143627
00982 Drug metabolism - cytochrome P450	K13953	0.004766287577178925
09111 Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation	0.47279133246508215
00626 Naphthalene degradation	K13954	0.008878761223183946
09105 Amino acid metabolism	00350 Tyrosine metabolism	0.45782025450369374
00350 Tyrosine metabolism	K18857	0.0006780264775378647
00982 Drug metabolism - cytochrome P450	K00001	0.004508173051202643
ko04147	K00002	0.16255749430911784
09100 Metabolism	09109 Metabolism of terpenoids and polyketides	0.03373013095638821
09109 Metabolism of terpenoids and polyketides	00281 Geraniol degradation	0.4417117387927857
00281 Geraniol degradation	K12957	0.010606177290846985
09100 Metabolism	09103 Lipid metabolism	0.055570022373215025
09103 Lipid metabolism	00561 Glycerolipid metabolism	0.40637660155794014
00561 Glycerolipid metabolism	K13979	0.008020329107051326
09111 Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation	0.4722185430844932
00625 Chloroalkane and chloroalkene degradation	K14028	0.015287565950739417
00625 Chloroalkane and chloroalkene degradation	K14029	0.015517137782712487
00625 Chloroalkane and chloroalkene degradation	K00114	0.0092016777552844
00620 Pyruvate metabolism	K04022	0.04296425399102704
00620 Pyruvate metabolism	K22473	0.04443442544921375
00620 Pyruvate metabolism	K22474	0.017362850675865696
04936 Alcoholic liver disease	K00128	0.00829165100140203
04936 Alcoholic liver disease	K14085	0.04748760847107602
04936 Alcoholic liver disease	K00149	0.0006780264775378647
00982 Drug metabolism - cytochrome P450	K00129	0.04955084349302985
00620 Pyruvate metabolism	K00138	0.01474530987695262
09180 Brite Hierarchies	09181 Protein families: metabolism	0.0010400227765071687
09181 Protein families: metabolism	ko01004	0.44552915697021045
ko01004	K01895	0.009936409254010516
ko01004	K01913	0.0006780264775378647
ko01004	K01905	0.038852986029895724
ko01004	K22224	0.0398645299508003
ko01004	K24012	0.008276033122859095
09101 Carbohydrate metabolism	00052 Galactose metabolism	0.45648651598265766
00052 Galactose metabolism	K01785	0.007366070269124035
00010 Glycolysis / Gluconeogenesis	K01085	0.01468106292000879
00010 Glycolysis / Gluconeogenesis	K20866	0.00506649118858474
09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis	0.4188072929873426
00521 Streptomycin biosynthesis	K01835	0.008436547992174978
00521 Streptomycin biosynthesis	K15778	0.008455144162088767
09100 Metabolism	09104 Nucleotide metabolism	0.01856495642014892
09104 Nucleotide metabolism	00230 Purine metabolism	0.4259075450757829
00230 Purine metabolism	K15779	0.06311681086598839
09167 Endocrine and metabolic disease	04931 Insulin resistance	0.2439326378514237
04931 Insulin resistance	K01084	0.0006780264775378647
00520 Amino sugar and nucleotide sugar metabolism	K00886	0.018798908176345563
00010 Glycolysis / Gluconeogenesis	K08074	0.0006780264775378647
00010 Glycolysis / Gluconeogenesis	K01792	0.005076290978906704
00260 Glycine, serine and threonine metabolism	K01837	0.0006780264775378647
09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism	0.4557337769718893
00562 Inositol phosphate metabolism	K03103	0.03473088714275145
00010 Glycolysis / Gluconeogenesis	K11389	0.018469654674821576
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway	0.44355663898560643
00030 Pentose phosphate pathway	K00131	0.014420918219831203
00030 Pentose phosphate pathway	K18978	0.03396285038729707
04931 Insulin resistance	K01596	0.006222957025550714
00710 Carbon fixation in photosynthetic organisms	K01610	0.009479901607082366
09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism	0.44294329033537394
00500 Starch and sucrose metabolism	K01222	0.007895707846761819
00500 Starch and sucrose metabolism	K01223	0.009589466067093325
09183 Protein families: signaling and cellular processes	ko02000	0.04935337200131726
ko02000	K02777	0.4190453654811042
ko02000	K02779	0.42740743070480947
ko02000	K02791	0.42392024332965733
ko02000	K20118	0.41735077801406106
ko02000	K02753	0.45050386501840173
09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism	0.43969115352474264
00630 Glyoxylate and dicarboxylate metabolism	K01647	0.00902478912174599
ko04147	K01648	0.17620378224606473
00720 Carbon fixation pathways in prokaryotes	K15230	0.037377610511964005
00720 Carbon fixation pathways in prokaryotes	K15231	0.041990967277621374
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle)	0.43725362227131426
00020 Citrate cycle (TCA cycle)	K05942	0.03598606192587692
00720 Carbon fixation pathways in prokaryotes	K01681	0.0055822392498003194
00720 Carbon fixation pathways in prokaryotes	K01682	0.009619895585072973
09160 Human Diseases	09161 Cancer: overview	0.4225905326326995
09161 Cancer: overview	05230 Central carbon metabolism in cancer	0.018890659469703044
05230 Central carbon metabolism in cancer	K00031	0.006420952164891565
00020 Citrate cycle (TCA cycle)	K00030	0.015116616600602642
09105 Amino acid metabolism	00300 Lysine biosynthesis	0.45851160765088744
00300 Lysine biosynthesis	K17753	0.034575937697668244
00020 Citrate cycle (TCA cycle)	K00164	0.002266514669938684
09105 Amino acid metabolism	00380 Tryptophan metabolism	0.4512298191040224
00380 Tryptophan metabolism	K00658	0.007651992826266469
00630 Glyoxylate and dicarboxylate metabolism	K01616	0.009108940459686507
00720 Carbon fixation pathways in prokaryotes	K00177	0.011713150616082848
00720 Carbon fixation pathways in prokaryotes	K00176	0.03754885458329202
00720 Carbon fixation pathways in prokaryotes	K01902	0.008978452544689604
00720 Carbon fixation pathways in prokaryotes	K01903	0.005598093255599247
09101 Carbohydrate metabolism	00640 Propanoate metabolism	0.4630974389078982
00640 Propanoate metabolism	K01899	0.013600805553117596
ko04147	K01900	0.1753254319094626
09101 Carbohydrate metabolism	00650 Butanoate metabolism	0.4568646792026435
00650 Butanoate metabolism	K18118	0.0071695159201485715
09167 Endocrine and metabolic disease	04932 Non-alcoholic fatty liver disease	0.2773216581108329
04932 Non-alcoholic fatty liver disease	K00234	0.005424461717899197
04932 Non-alcoholic fatty liver disease	K00235	0.011579409306754536
04932 Non-alcoholic fatty liver disease	K00236	0.007944636091370739
04932 Non-alcoholic fatty liver disease	K00237	0.00873350386549906
09102 Energy metabolism	00190 Oxidative phosphorylation	0.4385902270662274
00190 Oxidative phosphorylation	K25801	0.0006780264775378647
09160 Human Diseases	09171 Infectious disease: bacterial	0.04276317656485167
09171 Infectious disease: bacterial	05134 Legionellosis	0.4321940121882242
05134 Legionellosis	K00239	0.005791650291167455
00720 Carbon fixation pathways in prokaryotes	K00240	0.010767947268361722
00720 Carbon fixation pathways in prokaryotes	K00241	0.007342594595882621
00720 Carbon fixation pathways in prokaryotes	K00242	0.01586814945421862
00720 Carbon fixation pathways in prokaryotes	K18859	0.044045695356952935
00720 Carbon fixation pathways in prokaryotes	K18860	0.04610930283082723
ko00001	09130 Environmental Information Processing	0.06946313720080104
09130 Environmental Information Processing	09132 Signal transduction	0.02669194390837531
09132 Signal transduction	02020 Two-component system	0.35401739987038433
02020 Two-component system	K00244	0.010241611032687684
02020 Two-component system	K00245	0.038852248914532476
02020 Two-component system	K00246	0.036667539387070604
02020 Two-component system	K00247	0.04433665179538966
00720 Carbon fixation pathways in prokaryotes	K00233	0.0006780264775378647
00720 Carbon fixation pathways in prokaryotes	K25995	0.0006780264775378647
00720 Carbon fixation pathways in prokaryotes	K25996	0.0006780264775378647
00720 Carbon fixation pathways in prokaryotes	K01676	0.008935903471188538
00720 Carbon fixation pathways in prokaryotes	K01677	0.011080164938845581
00720 Carbon fixation pathways in prokaryotes	K01678	0.018398304173549613
09167 Endocrine and metabolic disease	04934 Cushing syndrome	0.1130346314223134
04934 Cushing syndrome	K01679	0.1130346314223134
00720 Carbon fixation pathways in prokaryotes	K01675	0.04810470072303859
00720 Carbon fixation pathways in prokaryotes	K01774	0.04805493724136497
ko00001	09150 Organismal Systems	0.11046783046258239
09150 Organismal Systems	09155 Excretory system	0.13136693333856353
09155 Excretory system	04964 Proximal tubule bicarbonate reclamation	0.0006780264775378647
04964 Proximal tubule bicarbonate reclamation	K00025	0.0006780264775378647
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism	0.4455206284787981
00270 Cysteine and methionine metabolism	K00026	0.025105125841198537
00270 Cysteine and methionine metabolism	K00024	0.007283549529845667
00620 Pyruvate metabolism	K00116	0.00857529655304587
00720 Carbon fixation pathways in prokaryotes	K01958	0.004827695642287037
00720 Carbon fixation pathways in prokaryotes	K01959	0.019527664669785137
00720 Carbon fixation pathways in prokaryotes	K01960	0.01011706666413458
ko04147	K00036	0.12584541093213025
00030 Pentose phosphate pathway	K19243	0.0390785091913704
00030 Pentose phosphate pathway	K01057	0.005848741988682209
00030 Pentose phosphate pathway	K07404	0.006830678166043913
00030 Pentose phosphate pathway	K13937	0.0006780264775378647
09100 Metabolism	09106 Metabolism of other amino acids	0.03463841935904799
09106 Metabolism of other amino acids	00480 Glutathione metabolism	0.4119394265904214
00480 Glutathione metabolism	K00033	0.009956747998835301
00710 Carbon fixation in photosynthetic organisms	K01783	0.00837166903352602
09109 Metabolism of terpenoids and polyketides	01051 Biosynthesis of ansamycins	0.44026866411059534
01051 Biosynthesis of ansamycins	K00615	0.005919485615266704
00030 Pentose phosphate pathway	K00616	0.005655965186836433
00710 Carbon fixation in photosynthetic organisms	K01807	0.009396389280244544
00710 Carbon fixation in photosynthetic organisms	K01808	0.009689972783788338
00680 Methane metabolism	K13812	0.0900378801087582
00680 Methane metabolism	K08093	0.0654209223138528
00680 Methane metabolism	K08094	0.061544329384880705
00680 Methane metabolism	K13831	0.08234300939791364
00710 Carbon fixation in photosynthetic organisms	K01621	0.008885885985254215
00030 Pentose phosphate pathway	K01619	0.0067162757801571445
00030 Pentose phosphate pathway	K00852	0.006191969050605662
00230 Purine metabolism	K01839	0.016349608480948144
00230 Purine metabolism	K22199	0.04144975085855724
00030 Pentose phosphate pathway	K05774	0.014688854456353904
00230 Purine metabolism	K00948	0.01091551139552756
00030 Pentose phosphate pathway	K01690	0.008393883398292742
00630 Glyoxylate and dicarboxylate metabolism	K01625	0.00817237213309276
00030 Pentose phosphate pathway	K17463	0.04717167442553758
00052 Galactose metabolism	K11395	0.0302507653471143
00030 Pentose phosphate pathway	K00034	0.009152568902851705
00030 Pentose phosphate pathway	K22969	0.02461812643450597
00030 Pentose phosphate pathway	K21840	0.0006780264775378647
00052 Galactose metabolism	K18124	0.04124680381155438
00052 Galactose metabolism	K18125	0.029146139372197698
00030 Pentose phosphate pathway	K00115	0.052717346236508054
00030 Pentose phosphate pathway	K19813	0.02197450938808146
00030 Pentose phosphate pathway	K00117	0.006074002307793849
ko04147	K01053	0.1344303526159689
00030 Pentose phosphate pathway	K06151	0.019483285175071866
00030 Pentose phosphate pathway	K06152	0.013384625298552772
00260 Glycine, serine and threonine metabolism	K00090	0.025583299411449222
00030 Pentose phosphate pathway	K22229	0.048074742500565405
00030 Pentose phosphate pathway	K11441	0.037122709559420285
00480 Glutathione metabolism	K00032	0.04258400645269198
00030 Pentose phosphate pathway	K00851	0.007702441950553078
00030 Pentose phosphate pathway	K25031	0.008243098688512472
00052 Galactose metabolism	K05308	0.023084513183325734
00030 Pentose phosphate pathway	K00874	0.006466721041882626
00052 Galactose metabolism	K18126	0.03318289915201905
00052 Galactose metabolism	K18127	0.03790079778428969
00030 Pentose phosphate pathway	K03738	0.0065717084704756045
00030 Pentose phosphate pathway	K18020	0.044557625259097365
00030 Pentose phosphate pathway	K18021	0.04952816917344028
00030 Pentose phosphate pathway	K18022	0.050586391977317735
00030 Pentose phosphate pathway	K18128	0.052683954028651094
00260 Glycine, serine and threonine metabolism	K11529	0.009043889927764495
00030 Pentose phosphate pathway	K22345	0.045860419977721584
ko02000	K17464	0.46032838543479904
ko02000	K17465	0.45075736623097934
ko02000	K17466	0.44775158482949834
ko02000	K17467	0.44498651863045735
00030 Pentose phosphate pathway	K17468	0.025931014598035172
02020 Two-component system	K01051	0.012349574684034777
09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions	0.4546992591125922
00040 Pentose and glucuronate interconversions	K22539	0.015924379794589258
ko00001	09140 Cellular Processes	0.006527056567766294
09140 Cellular Processes	09145 Cellular community - prokaryotes	0.00887713394282422
09145 Cellular community - prokaryotes	02024 Quorum sensing	0.44003597367568903
02024 Quorum sensing	K01728	0.013002143402024293
00040 Pentose and glucuronate interconversions	K19551	0.0375309017365502
00040 Pentose and glucuronate interconversions	K01731	0.037800101517780155
00040 Pentose and glucuronate interconversions	K22994	0.014320895516876778
00040 Pentose and glucuronate interconversions	K01730	0.020461341257277246
00040 Pentose and glucuronate interconversions	K01815	0.012133203756720147
00040 Pentose and glucuronate interconversions	K00065	0.010403657297577924
00040 Pentose and glucuronate interconversions	K01184	0.013934742926129992
00040 Pentose and glucuronate interconversions	K01213	0.019552119140131993
00040 Pentose and glucuronate interconversions	K22933	0.029145389550157916
00040 Pentose and glucuronate interconversions	K01812	0.007999452432738651
00040 Pentose and glucuronate interconversions	K00041	0.008466289212324233
00040 Pentose and glucuronate interconversions	K01685	0.006499443409756356
00040 Pentose and glucuronate interconversions	K16849	0.03296821850476741
00040 Pentose and glucuronate interconversions	K16850	0.009857964386683866
00040 Pentose and glucuronate interconversions	K01686	0.007675416184030516
00040 Pentose and glucuronate interconversions	K08323	0.011260983247661414
00040 Pentose and glucuronate interconversions	K08322	0.01723506918604368
00040 Pentose and glucuronate interconversions	K00040	0.006164936504446418
00040 Pentose and glucuronate interconversions	K21619	0.019695917035629194
00040 Pentose and glucuronate interconversions	K18106	0.028315328170124627
00040 Pentose and glucuronate interconversions	K19634	0.04489790522296638
00040 Pentose and glucuronate interconversions	K18102	0.034977989025774064
00040 Pentose and glucuronate interconversions	K18103	0.03728382130386858
00040 Pentose and glucuronate interconversions	K18107	0.02946969805149442
09140 Cellular Processes	09141 Transport and catabolism	0.1533550487422453
09141 Transport and catabolism	04142 Lysosome	0.30028296650188346
04142 Lysosome	K01195	0.01174239851287752
ko04147	K14756	0.0006780264775378647
09181 Protein families: metabolism	ko01003	0.334779138782625
ko01003	K00699	0.0006780264775378647
00520 Amino sugar and nucleotide sugar metabolism	K16190	0.0490473536488548
00520 Amino sugar and nucleotide sugar metabolism	K12447	0.0515495522868269
09100 Metabolism	09107 Glycan biosynthesis and metabolism	0.040655652174689826
09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis	0.4119833752542841
00541 O-Antigen nucleotide sugar biosynthesis	K00012	0.007172360995469611
00541 O-Antigen nucleotide sugar biosynthesis	K00963	0.011997882613925911
00040 Pentose and glucuronate interconversions	K13247	0.018941492318037257
09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism	0.4652752750646366
