	parent	child
0	root	K25858
1	root	K16406
2	root	K14658
3	root	K07145
4	root	K02039
5	root	K04186
6	root	K11837
7	root	K07536
8	root	K05748
9	root	K05733
10	root	K18748
11	root	K13970
12	root	K16239
13	root	K17831
14	root	K08575
15	root	K10406
16	root	K09277
17	root	K04025
18	root	K24136
19	root	K03969
20	root	K25021
21	root	K15986
22	root	K25525
23	root	K13749
24	root	K19253
25	root	K11810
26	root	K16983
27	root	K12919
28	root	K00242
29	root	K17654
30	root	K21802
31	root	K14221
32	root	K08210
33	root	K17394
34	root	K20384
35	root	K14947
36	root	K14287
37	root	K21891
38	root	K07010
39	root	K25888
40	root	K15314
41	root	K05841
42	root	K24592
43	root	K07978
44	root	K18420
45	root	K21944
46	root	K12120
47	root	K11375
48	root	K08673
49	root	K04913
50	root	K25194
51	root	K04373
52	root	K12891
53	root	K21731
54	root	K24199
55	root	K07150
56	root	K24784
57	root	K04083
58	root	K14116
59	root	K20019
60	root	K17161
61	root	K09536
62	root	K16383
63	root	K06841
64	root	K06698
65	root	K14992
66	root	K14675
67	root	K11816
68	root	K02338
69	root	K04953
70	root	K20478
71	root	K24662
72	root	K00499
73	root	K17020
74	root	K24725
75	root	K00570
76	root	K11328
77	root	K12022
78	root	K17640
79	root	K25113
80	root	K22643
81	root	K11403
82	root	K20646
83	root	K15805
84	root	K02565
85	root	K05803
86	root	K10295
87	root	K04550
88	root	K03354
89	root	K17145
90	root	K12068
91	root	K08875
92	root	K05284
93	root	K02591
94	root	K04632
95	root	K02087
96	root	K24421
97	root	K04947
98	root	K15653
99	root	K19089
100	root	K22949
101	root	K15499
102	root	K18030
103	root	K02125
104	root	K09896
105	root	K01212
106	root	K12012
107	root	K19363
108	root	K21185
109	root	K16282
110	root	K17431
111	root	K22481
112	root	K25475
113	root	K08372
114	root	K15038
115	root	K24359
116	root	K01345
117	root	K05785
118	root	K14896
119	root	K18028
120	root	K21497
121	root	K12206
122	root	K03730
123	root	K12792
124	root	K15148
125	root	K11007
126	root	K19981
127	root	K08602
128	root	K18566
129	root	K06513
130	root	K03707
131	root	K12263
132	root	K18957
133	root	K18194
134	root	K21021
135	root	K09748
136	root	K20022
137	root	K16315
138	root	K23140
139	root	K21794
140	root	K17249
141	root	K15457
142	root	K10003
143	root	K12205
144	root	K22962
145	root	K05769
146	root	K12142
147	root	K07466
148	root	K20045
149	root	K13286
150	root	K23896
151	root	K13083
152	root	K00248
153	root	K08399
154	root	K06388
155	root	K04122
156	root	K08215
157	root	K10512
158	root	K14413
159	root	K05656
160	root	K19677
161	root	K25864
162	root	K09053
163	root	K15591
164	root	K10477
165	root	K24798
166	root	K04368
167	root	K19217
168	root	K06831
169	root	K21727
170	root	K19514
171	root	K02886
172	root	K05933
173	root	K11963
174	root	K22550
175	root	K16840
176	root	K21771
177	root	K11093
178	root	K09211
179	root	K16335
180	root	K02159
181	root	K20745
182	root	K06377
183	root	K00483
184	root	K17741
185	root	K06120
186	root	K19881
187	root	K08401
188	root	K06636
189	root	K23456
190	root	K23109
191	root	K20102
192	root	K04611
193	root	K20615
194	root	K24456
195	root	K18961
196	root	K03468
197	root	K14355
198	root	K01592
199	root	K19489
200	root	K17484
201	root	K10414
202	root	K07713
203	root	K22708
204	root	K17623
205	root	K08537
206	root	K00132
207	root	K05360
208	root	K25436
209	root	K10231
210	root	K07464
211	root	K17838
212	root	K23098
213	root	K08278
214	root	K14441
215	root	K01830
216	root	K16365
217	root	K02988
218	root	K01363
219	root	K03493
220	root	K11175
