#parent	child	edge_length
#parent	child'NA'
ko00001	09180 Brite Hierarchies	2.220446049250313e-16
09180 Brite Hierarchies	09182 Protein families: genetic information processing	0.0040245014793534595
09182 Protein families: genetic information processing	ko04131	0.0017934544781414985
ko00001	09160 Human Diseases	2.220446049250313e-16
09160 Human Diseases	09167 Endocrine and metabolic disease	0.03148703317784246
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	0.03495842912205982
ko00001	09100 Metabolism	2.220446049250313e-16
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	0.06165843793294107
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	2.220446049250313e-16
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	2.220446049250313e-16
09183 Protein families: signaling and cellular processes	ko04147	0.05016549186377811
09100 Metabolism	09101 Carbohydrate metabolism	2.220446049250313e-16
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	2.220446049250313e-16
09100 Metabolism	09102 Energy metabolism	0.009624708859960834
09102 Energy metabolism	00680 Methane metabolism	0.02050560435645335
09182 Protein families: genetic information processing	ko03019	2.220446049250313e-16
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	0.0609126074488236
09100 Metabolism	09105 Amino acid metabolism	2.220446049250313e-16
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	0.03190386320691596
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	2.220446049250313e-16
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	2.220446049250313e-16
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	0.028501463940956873
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	0.07774721387510619
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	0.013587860577048472
09160 Human Diseases	09166 Cardiovascular disease	0.015284923020021268
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy	0.041011768889818834
09100 Metabolism	09112 Not included in regular maps	0.08201958427986707
09112 Not included in regular maps	09113 Global maps only	0.08201958427986707
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism	2.220446049250313e-16
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation	2.220446049250313e-16
09167 Endocrine and metabolic disease	04936 Alcoholic liver disease	0.09440135946440303
09160 Human Diseases	09174 Infectious disease: parasitic	0.04620079186531306
09174 Infectious disease: parasitic	05146 Amoebiasis	2.220446049250313e-16
09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450	2.220446049250313e-16
09111 Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation	0.0857719397307447
09105 Amino acid metabolism	00350 Tyrosine metabolism	0.01645236071917866
09100 Metabolism	09109 Metabolism of terpenoids and polyketides	2.220446049250313e-16
09109 Metabolism of terpenoids and polyketides	00281 Geraniol degradation	0.02306431952382204
09100 Metabolism	09103 Lipid metabolism	2.220446049250313e-16
09103 Lipid metabolism	00561 Glycerolipid metabolism	2.220446049250313e-16
09111 Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation	0.04097934061304359
09180 Brite Hierarchies	09181 Protein families: metabolism	2.220446049250313e-16
09181 Protein families: metabolism	ko01004	0.08981468446801927
09101 Carbohydrate metabolism	00052 Galactose metabolism	0.036701965826955285
09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis	2.220446049250313e-16
09100 Metabolism	09104 Nucleotide metabolism	0.0010430291316000928
09104 Nucleotide metabolism	00230 Purine metabolism	0.030047445622177094
09167 Endocrine and metabolic disease	04931 Insulin resistance	0.07375797991625327
09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism	0.0025822170531691335
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway	0.021406468481699803
09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism	2.220446049250313e-16
09183 Protein families: signaling and cellular processes	ko02000	0.054009518575250104
09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism	0.015771094893053506
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle)	0.007000819544565662
