parent	child	edge_length
ko00001	09180 Brite Hierarchies	9.894017046990891e-05
09180 Brite Hierarchies	09182 Protein families: genetic information processing	0.0003282260061338288
09182 Protein families: genetic information processing	ko04131	0.19786670547572988
ko04131	K00844	0.2987564981138022
ko00001	09160 Human Diseases	0.01340420744102564
09160 Human Diseases	09167 Endocrine and metabolic disease	0.2393745570469561
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	0.0016578225714484246
04950 Maturity onset diabetes of the young	K12407	0.0016578225714484246
ko00001	09100 Metabolism	0.00028697404766522014
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	0.030248078578662456
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	0.4510857211056376
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	0.018121977773009754
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	0.01824768114843245
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	0.0006749039636916469
09183 Protein families: signaling and cellular processes	ko04147	0.35205984565444504
ko04147	K01810	0.13857139990545858
09100 Metabolism	09101 Carbohydrate metabolism	0.010182166135069193
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	0.4607843092910304
00520 Amino sugar and nucleotide sugar metabolism	K06859	0.02950753210967065
00520 Amino sugar and nucleotide sugar metabolism	K13810	0.02729321632681489
00520 Amino sugar and nucleotide sugar metabolism	K15916	0.02896108013465811
09100 Metabolism	09102 Energy metabolism	0.009810429377102504
09102 Energy metabolism	00680 Methane metabolism	0.42421384237744114
00680 Methane metabolism	K24182	0.0016578225714484246
09182 Protein families: genetic information processing	ko03019	0.4061043404592384
ko03019	K00850	0.09082291816365114
00680 Methane metabolism	K16370	0.05985016616803986
00680 Methane metabolism	K21071	0.06403307000592352
00680 Methane metabolism	K00918	0.06682413595751462
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	0.4656553924183426
00051 Fructose and mannose metabolism	K00895	0.02324099278302065
ko04147	K03841	0.14657858226280537
00680 Methane metabolism	K02446	0.06261643361200675
00680 Methane metabolism	K11532	0.06367671829518737
00680 Methane metabolism	K01086	0.07069776680750747
00680 Methane metabolism	K04041	0.06637831726796546
ko04147	K01623	0.14585025227831738
00680 Methane metabolism	K11645	0.06375604135195004
00680 Methane metabolism	K01624	0.059918315417090334
00680 Methane metabolism	K01622	0.06749473871282138
09100 Metabolism	09105 Amino acid metabolism	0.010490445204174333
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	0.46484768113283637
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305	0.021628284804358456
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306	0.023370537519800096
ko04147	K01803	0.13807340937573595
ko04147	K00134	0.14492132172670733
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	0.45330487337614866
00010 Glycolysis / Gluconeogenesis	K10705	0.0016578225714484246
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	0.4696046896854859
00710 Carbon fixation in photosynthetic organisms	K00150	0.017362100757354733
ko04147	K00927	0.14439777340204668
ko04147	K01834	0.14368723460114372
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	0.4638922995940582
00260 Glycine, serine and threonine metabolism	K15634	0.022529306593409997
00260 Glycine, serine and threonine metabolism	K15633	0.022429745878155022
00260 Glycine, serine and threonine metabolism	K15635	0.021982801205549265
ko04147	K01689	0.1411263930685141
ko04147	K00873	0.13989596567217152
ko04147	K12406	0.0016578225714484246
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	0.46652968393855054
00720 Carbon fixation pathways in prokaryotes	K01006	0.019566998807926173
00680 Methane metabolism	K01007	0.06364718656272322
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	0.46797435939045096
00620 Pyruvate metabolism	K00163	0.018123841707674258
09160 Human Diseases	09166 Cardiovascular disease	0.395741695991182
