#parent	child	edge_length
ko00001	09180 Brite Hierarchies	0.004214594725382035
09180 Brite Hierarchies	09182 Protein families: genetic information processing	0.02184613598644447
09182 Protein families: genetic information processing	ko04131	0.23231844031750432
ko00001	09160 Human Diseases	0.26390167882884785
09160 Human Diseases	09167 Endocrine and metabolic disease	3.684426519156153e-05
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	1.784889237791221e-16
ko00001	09100 Metabolism	0.022942054893630395
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	0.4516083392906298
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	0.147840782014791
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	0.017791250143557383
09183 Protein families: signaling and cellular processes	ko04147	0.2319197379803402
09100 Metabolism	09101 Carbohydrate metabolism	0.2506127549482438
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	2.4404098640673263e-17
09100 Metabolism	09102 Energy metabolism	0.27097898640871665
09102 Energy metabolism	00680 Methane metabolism	7.132937537941721e-06
09182 Protein families: genetic information processing	ko03019	0.2265304213630644
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	7.249240219295982e-17
09100 Metabolism	09105 Amino acid metabolism	0.24253333957936657
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	4.104771973587189e-17
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	1.441773785781655e-16
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	5.730981732825755e-17
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	2.9912861285287534e-17
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	0.020025929530337966
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	8.622215665016205e-17
09160 Human Diseases	09166 Cardiovascular disease	3.7923876795256054e-17
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy	9.312543063105918e-17
09100 Metabolism	09112 Not included in regular maps	2.7087735156006397e-17
09112 Not included in regular maps	09113 Global maps only	2.7087735156006397e-17
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism	0.36265186147025674
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation	4.75395259020887e-17
09167 Endocrine and metabolic disease	04936 Alcoholic liver disease	1.2758507350878856e-16
09160 Human Diseases	09174 Infectious disease: parasitic	0.13697283210705125
09174 Infectious disease: parasitic	05146 Amoebiasis	6.583190000381839e-16
09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450	9.96204273065843e-17
09111 Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation	0.09886213336312472
09105 Amino acid metabolism	00350 Tyrosine metabolism	1.1155997107629466e-05
09100 Metabolism	09109 Metabolism of terpenoids and polyketides	0.37978421733075374
09109 Metabolism of terpenoids and polyketides	00281 Geraniol degradation	1.154640428930614e-16
09100 Metabolism	09103 Lipid metabolism	0.26076666686618905
09103 Lipid metabolism	00561 Glycerolipid metabolism	2.443050529644137e-16
09111 Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation	0.07993402539327388
09180 Brite Hierarchies	09181 Protein families: metabolism	0.03648511184170984
09181 Protein families: metabolism	ko01004	0.20902259365516118
09101 Carbohydrate metabolism	00052 Galactose metabolism	2.3485513218790185e-16
09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis	3.1485715027907806e-17
09100 Metabolism	09104 Nucleotide metabolism	0.22117348869383413
09104 Nucleotide metabolism	00230 Purine metabolism	7.641449490817858e-12
09167 Endocrine and metabolic disease	04931 Insulin resistance	7.331491360861026e-17
09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism	8.965199044986842e-17
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway	9.046059975807336e-17
09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism	2.0062677832460915e-17
09183 Protein families: signaling and cellular processes	ko02000	0.251191913514075
09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism	6.695567410323479e-17
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle)	1.5989716983310912e-16
09160 Human Diseases	09161 Cancer: overview	4.1572470670504e-12
09161 Cancer: overview	05230 Central carbon metabolism in cancer	1.5878797748278504e-16
09105 Amino acid metabolism	00300 Lysine biosynthesis	1.924783692094291e-16
09105 Amino acid metabolism	00380 Tryptophan metabolism	2.9011267130244013e-16
09101 Carbohydrate metabolism	00640 Propanoate metabolism	2.5697512963499985e-16
09101 Carbohydrate metabolism	00650 Butanoate metabolism	0.007110492389403862
09167 Endocrine and metabolic disease	04932 Non-alcoholic fatty liver disease	3.63503824269036e-05
09102 Energy metabolism	00190 Oxidative phosphorylation	1.7223504363067736e-17
09160 Human Diseases	09171 Infectious disease: bacterial	0.13623990016639792
09171 Infectious disease: bacterial	05134 Legionellosis	1.1076192572186007e-16
ko00001	09130 Environmental Information Processing	0.2753246539099195
09130 Environmental Information Processing	09132 Signal transduction	3.0729195762423114e-14
09132 Signal transduction	02020 Two-component system	0.0004242269248345807
09167 Endocrine and metabolic disease	04934 Cushing syndrome	1.2690814930113093e-16
ko00001	09150 Organismal Systems	0.29605781575818774
09150 Organismal Systems	09155 Excretory system	2.2793726520494467e-17
09155 Excretory system	04964 Proximal tubule bicarbonate reclamation	1.602222743959604e-16
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism	3.2125337548026985e-17
09100 Metabolism	09106 Metabolism of other amino acids	0.2760764694681348
09106 Metabolism of other amino acids	00480 Glutathione metabolism	8.240978975574034e-17
09109 Metabolism of terpenoids and polyketides	01051 Biosynthesis of ansamycins	9.5365947774977e-17
09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions	4.4061616857370827e-16
ko00001	09140 Cellular Processes	0.24655429359699496
09140 Cellular Processes	09145 Cellular community - prokaryotes	0.07421710091650764
