#parent	child	edge_length
ko00001	09180 Brite Hierarchies	1
09180 Brite Hierarchies	09182 Protein families: genetic information processing	1
09182 Protein families: genetic information processing	ko04131	1
ko04131	K00844	1
ko00001	09160 Human Diseases	1
09160 Human Diseases	09167 Endocrine and metabolic disease	1
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	1
04950 Maturity onset diabetes of the young	K12407	1
ko00001	09100 Metabolism	1
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	1
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	1
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	1
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	1
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	1
09183 Protein families: signaling and cellular processes	ko04147	1
ko04147	K01810	1
09100 Metabolism	09101 Carbohydrate metabolism	1
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	1
00520 Amino sugar and nucleotide sugar metabolism	K06859	1
00520 Amino sugar and nucleotide sugar metabolism	K13810	1
00520 Amino sugar and nucleotide sugar metabolism	K15916	1
09100 Metabolism	09102 Energy metabolism	1
09102 Energy metabolism	00680 Methane metabolism	1
00680 Methane metabolism	K24182	1
09182 Protein families: genetic information processing	ko03019	1
ko03019	K00850	1
00680 Methane metabolism	K16370	1
00680 Methane metabolism	K21071	1
00680 Methane metabolism	K00918	1
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	1
00051 Fructose and mannose metabolism	K00895	1
ko04147	K03841	1
00680 Methane metabolism	K02446	1
00680 Methane metabolism	K11532	1
00680 Methane metabolism	K01086	1
00680 Methane metabolism	K04041	1
ko04147	K01623	1
00680 Methane metabolism	K11645	1
00680 Methane metabolism	K01624	1
00680 Methane metabolism	K01622	1
09100 Metabolism	09105 Amino acid metabolism	1
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	1
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305	1
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306	1
ko04147	K01803	1
ko04147	K00134	1
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	1
00010 Glycolysis / Gluconeogenesis	K10705	1
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	1
00710 Carbon fixation in photosynthetic organisms	K00150	1
ko04147	K00927	1
ko04147	K01834	1
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	1
