#parent	child	edge_length
#parent	child'NA'
ko00001	09180 Brite Hierarchies	0.0
09180 Brite Hierarchies	09182 Protein families: genetic information processing	0.0
09182 Protein families: genetic information processing	ko04131	0.0
ko00001	09160 Human Diseases	0.0
09160 Human Diseases	09167 Endocrine and metabolic disease	0.0
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	0.0
ko00001	09100 Metabolism	0.0
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	0.0
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	0.0
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	0.0
09183 Protein families: signaling and cellular processes	ko04147	0.29251127161469825
09100 Metabolism	09101 Carbohydrate metabolism	0.0
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	0.0
09100 Metabolism	09102 Energy metabolism	0.0
09102 Energy metabolism	00680 Methane metabolism	0.0
09182 Protein families: genetic information processing	ko03019	0.0
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	0.0
09100 Metabolism	09105 Amino acid metabolism	0.0
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	0.0
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	0.0
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	0.0
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	0.0
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	0.0
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	0.0
09160 Human Diseases	09166 Cardiovascular disease	0.0
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy	0.0
09100 Metabolism	09112 Not included in regular maps	0.16666666666666666
09112 Not included in regular maps	09113 Global maps only	0.16666666666666666
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism	0.0
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation	0.0
09167 Endocrine and metabolic disease	04936 Alcoholic liver disease	0.32478124767908345
09160 Human Diseases	09174 Infectious disease: parasitic	0.0
09174 Infectious disease: parasitic	05146 Amoebiasis	0.0
09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450	0.29251127161469825
09111 Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation	0.0
09105 Amino acid metabolism	00350 Tyrosine metabolism	0.0
09100 Metabolism	09109 Metabolism of terpenoids and polyketides	0.0
09109 Metabolism of terpenoids and polyketides	00281 Geraniol degradation	0.0
09100 Metabolism	09103 Lipid metabolism	0.0
09103 Lipid metabolism	00561 Glycerolipid metabolism	0.0
09111 Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation	0.0
09180 Brite Hierarchies	09181 Protein families: metabolism	0.0
09181 Protein families: metabolism	ko01004	0.0
09101 Carbohydrate metabolism	00052 Galactose metabolism	0.0
09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis	0.0
09100 Metabolism	09104 Nucleotide metabolism	0.0
09104 Nucleotide metabolism	00230 Purine metabolism	0.0
09167 Endocrine and metabolic disease	04931 Insulin resistance	0.0
09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism	0.0
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway	0.0
09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism	0.0
09183 Protein families: signaling and cellular processes	ko02000	0.0
