#parent	child	edge_length
ko00001	09180 Brite Hierarchies	0.37629174938188586
09180 Brite Hierarchies	09182 Protein families: genetic information processing	-0.003447088647255403
09182 Protein families: genetic information processing	ko04131	-0.009859457101837055
ko04131	K00844	0.13701479636720656
ko00001	09160 Human Diseases	-0.3383235124203142
09160 Human Diseases	09167 Endocrine and metabolic disease	0.3383235124203142
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	0.0
04950 Maturity onset diabetes of the young	K12407	0.5
ko00001	09100 Metabolism	-0.007688260837744959
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	0.0
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	0.0
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	0.14494782656074268
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	0.10124639969579255
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	-1.3877787807814457e-17
09183 Protein families: signaling and cellular processes	ko04147	0.011139731189578186
ko04147	K01810	0.11256851942853591
09100 Metabolism	09101 Carbohydrate metabolism	0.3550521734392574
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	0.0
00520 Amino sugar and nucleotide sugar metabolism	K06859	0.5
00520 Amino sugar and nucleotide sugar metabolism	K13810	0.5
00520 Amino sugar and nucleotide sugar metabolism	K15916	0.5
09100 Metabolism	09102 Energy metabolism	0.3550521734392574
09102 Energy metabolism	00680 Methane metabolism	0.0
00680 Methane metabolism	K24182	0.5
09182 Protein families: genetic information processing	ko03019	0.00031713478269077
ko03019	K00850	0.1268382044826788
00680 Methane metabolism	K16370	0.5
00680 Methane metabolism	K21071	0.14086569438333452
00680 Methane metabolism	K00918	0.5
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	0.0
00051 Fructose and mannose metabolism	K00895	0.16851378991685306
ko04147	K03841	0.14510196276101056
00680 Methane metabolism	K02446	0.5
00680 Methane metabolism	K11532	0.5
00680 Methane metabolism	K01086	0.5
00680 Methane metabolism	K04041	0.2028995903389994
ko04147	K01623	0.18244194305187078
00680 Methane metabolism	K11645	0.5
00680 Methane metabolism	K01624	0.13700314661388335
00680 Methane metabolism	K01622	0.5
09100 Metabolism	09105 Amino acid metabolism	0.013317860995695666
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	0.34173431244356167
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305	0.5
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306	0.5
ko04147	K01803	0.1265849307221375
ko04147	K00134	0.1132090381644336
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	0.0
00010 Glycolysis / Gluconeogenesis	K10705	0.5
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	-0.32575412797070946
00710 Carbon fixation in photosynthetic organisms	K00150	0.8257541279707095
ko04147	K00927	0.11347068753339266
ko04147	K01834	0.16308195033621165
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	5.551115123125783e-17
00260 Glycine, serine and threonine metabolism	K15634	0.16554927322278956
00260 Glycine, serine and threonine metabolism	K15633	0.11226937777040616
00260 Glycine, serine and threonine metabolism	K15635	0.19081738272976698
ko04147	K01689	0.12133427445899127
ko04147	K00873	0.08240673351511986
ko04147	K12406	0.8762917493818859
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	0.057617930947876206
00720 Carbon fixation pathways in prokaryotes	K01006	0.05897362371871295
00680 Methane metabolism	K01007	0.11883082301276493
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	-2.7755575615628914e-17
00620 Pyruvate metabolism	K00163	0.12491928252149709
09160 Human Diseases	09166 Cardiovascular disease	2.7755575615628914e-17
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy	0.018006487268070415
05415 Diabetic cardiomyopathy	K00161	0.1436700003116154
05415 Diabetic cardiomyopathy	K00162	0.1462789519433144
00620 Pyruvate metabolism	K00627	0.09448595377680406
ko04147	K00382	0.07884112345627829
09100 Metabolism	09112 Not included in regular maps	0.2850173911464191
09112 Not included in regular maps	09113 Global maps only	0.2850173911464191
09113 Global maps only	K13997	0.2850173911464191
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism	-0.02443580321082764
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation	0.0338324261815835
00633 Nitrotoluene degradation	K00169	0.16087094628490994
00633 Nitrotoluene degradation	K00170	0.8391290537150901
00633 Nitrotoluene degradation	K00172	0.8391290537150901
00633 Nitrotoluene degradation	K00189	0.8391290537150901
00633 Nitrotoluene degradation	K00171	0.8391290537150901
00720 Carbon fixation pathways in prokaryotes	K03737	0.1421122698138167
00720 Carbon fixation pathways in prokaryotes	K00174	0.12430018836017716
00720 Carbon fixation pathways in prokaryotes	K00175	0.19741235995389733
ko04147	K00016	0.16907596383856938
