name	IBD	T2D	HHS
K00001	4.770170988628988e-06	1.100805808853528e-05	7.96975366210324e-06
K00002	4.106296298176974e-06	7.263830941695012e-06	3.929233208147691e-06
K00003	0.00039984912612701327	0.0005605838373464604	0.00038942625818001297
K00004	3.051283023544279e-06	1.178423738270401e-06	7.19702318647012e-07
K00005	2.7518518322191015e-05	2.4590544240188133e-05	7.932068056094436e-06
K00006	2.7142087753594136e-08	1.451217756052738e-07	2.0388384168357225e-08
K00007	2.14161259280723e-08	0.0	2.8027140588494016e-08
K00008	0.0001904998112355194	0.00016499059020581164	9.274380401234664e-05
K00009	0.0001035323887774428	0.0001751099665024476	8.322881610367822e-05
K00010	0.00010092299718963873	0.00020792786890499903	0.0001801873807670335
K00011	6.450310826932016e-07	1.209514665620194e-06	6.850830661792375e-08
K00012	0.0023192481204799323	0.0022056148514813297	0.0027238258675390137
K00013	0.000466963863331786	0.00047235560680450995	0.0003270502316847988
K00014	8.199707405864825e-06	6.493227290719396e-06	3.0818062809780103e-06
K00015	1.4036342500404512e-05	1.6594473140333823e-06	2.9378912841687023e-06
K00016	0.00011446049607622303	0.00020373024199667606	7.772029486866558e-05
K00018	0.00045956551542803494	0.0003920152887763017	0.000531346642584432
K00019	2.2272051045796546e-05	1.2917893410578768e-05	1.2869216132817376e-05
K00020	4.316068482597831e-06	1.2224226532974191e-05	7.897244722289126e-06
K00021	2.240166958122314e-06	1.000451526071085e-06	3.559818799915613e-07
K00022	3.517630597191243e-06	1.3979787143982739e-05	4.166547725669457e-06
K00023	1.6680538974923736e-06	3.6173276271597805e-06	1.2296018142613741e-06
K00024	0.00047259057391368405	0.000500713427185074	0.0007604597510676816
K00026	5.468797676963646e-07	3.9872015868990733e-07	2.2989616766589686e-07
K00027	0.0004697511853535222	0.0004331664587315803	0.0002951189552036058
K00029	0.0024337666838979187	0.0018481339297632018	0.002503539468838532
K00030	9.58700670435346e-06	3.491426316485369e-05	1.0538275684203303e-05
K00031	0.0010857559265277518	0.0011993400249155743	0.001016971896912606
K00033	8.927557384429518e-05	8.425675610108504e-05	0.00013076375617502507
K00034	6.836694882555289e-06	1.4993246625521082e-06	3.775428586291927e-07
K00035	0.0	2.9451541611495e-08	7.256071979029066e-09
K00036	0.0003768089818468624	0.0002923676993393424	0.00030951443267143735
K00038	4.1443998809790653e-07	1.2146857653360924e-06	2.785533062373459e-07
K00039	2.291587856100495e-07	1.6348881079607006e-07	4.1861089637139214e-08
K00040	0.00010680541042941308	0.0001420646304553948	5.022563472054163e-05
K00041	0.0007871337350258662	0.0007096678109687145	0.0009193806390767016
K00042	3.23458195183206e-05	4.3243351788728315e-05	2.192878290308926e-05
K00043	0.0	3.5490338510653066e-08	4.872347658376944e-09
K00044	6.293793172902028e-07	3.7125432132154085e-06	3.2239715531610776e-08
K00045	1.4793509083912364e-05	2.1316619732048608e-05	3.211657667574314e-05
K00046	0.00046460279515491174	0.0004602343055060835	0.00036204202621401135
K00048	0.0007266985213075178	0.000558117715914013	0.0006511182257241038
K00052	0.00021995984630038607	0.00037858021398462526	0.00025890019370267137
K00053	0.001126282190911467	0.001046028994005987	0.0009088644931856878
K00054	2.244517864564965e-06	5.9116805562578765e-06	1.5910026105072796e-06
K00055	7.587269626953327e-06	3.791764523290216e-06	9.007100046571394e-07
K00057	0.0008949752913600275	0.0011172567111559367	0.0011324415281379965
K00058	0.0006073706323533842	0.0005798564292212493	0.00045065651479906955
K00059	0.0009377506819340921	0.0006913848714055156	0.0006471379342494237
K00060	5.740423429508486e-07	9.176330862322171e-07	3.4584551810584946e-07
K00062	6.080680447840826e-08	7.468880889104345e-09	7.191721422486381e-09
K00063	0.0	2.9725238326558193e-08	0.0
K00064	4.888089146321889e-08	8.876483233117073e-08	1.352523556426748e-07
K00065	3.376727677037322e-05	3.321980042415492e-05	1.2759386718913188e-05
K00066	6.958161396585916e-09	8.648321788833165e-09	1.0946546709346343e-06
K00067	0.0005902147874425568	0.0005808851944185394	0.0006520623546796645
K00068	2.5336483785117567e-05	7.211368442428127e-05	1.5190063877864715e-05
K00069	1.0075729170993995e-06	7.172777846193665e-08	1.7342441458703326e-08
K00070	0.0	1.9894440100826008e-08	0.0
K00071	0.0	2.5407677620883122e-08	4.2675181492004025e-09
K00072	9.897294586402491e-09	0.0	0.0
K00073	2.1975694388508025e-06	3.038857601658588e-06	4.4493242822410514e-07
K00074	2.5570568613914187e-05	3.0010952138463378e-05	1.6282852379127663e-05
K00075	0.00031347426896997363	0.000437891500106146	0.00027542048536487195
K00076	1.206202347027168e-06	1.1849061581458477e-07	3.885411565413635e-07
K00077	0.00022300220334740692	0.00025445392601093305	0.00014909421437924545
K00078	0.0	0.0	2.9214931681467723e-08
K00079	6.480324083600197e-09	3.996534205537119e-08	2.0942248294857244e-08
K00083	1.3143791275859677e-08	0.0	0.0
K00086	1.934497579607649e-07	1.639621079517381e-07	1.998332401128168e-08
K00087	6.987604781988586e-05	5.8569336029393616e-05	2.9012824298541092e-05
K00088	0.00047958550602353426	0.0008266266334821236	0.0004482278148323038
K00090	2.54389329207364e-06	1.1975037850377413e-06	2.907927403881519e-07
K00091	8.74341635970033e-07	4.7658041453451666e-07	2.995297907792438e-06
K00093	0.0	6.1757315783983196e-09	0.0
K00096	1.651086916128063e-05	3.6119794547267983e-05	4.504730495120947e-05
K00097	2.3777220095604315e-05	2.2961904950559095e-05	9.492094115504586e-06
K00098	1.0487467476562716e-07	1.95717572495535e-07	4.217679275971384e-08
K00099	0.0004934321513409111	0.0005513577849349988	0.0004875635142563563
K00100	1.6629405711603724e-08	2.8950147117121646e-09	7.135753516512407e-09
K00101	2.84123269690544e-05	1.154580232182763e-05	5.278116362616484e-06
K00102	2.1674560545850758e-06	1.020847558346169e-05	2.801963181481686e-06
K00103	2.0359851015490873e-08	1.771319620607463e-07	4.2819474572118895e-08
K00104	2.990411724823042e-05	1.5835623723004607e-05	6.526575704384369e-06
K00105	1.8129233878322848e-07	3.8812332264702e-07	2.7375223839759546e-07
K00106	3.0683111678244264e-07	3.1523998163554803e-07	3.784239876021482e-08
K00108	8.530343708755408e-07	2.0264478504884089e-07	5.29386627154018e-07
K00109	0.0	0.0	3.560993575750609e-09
K00111	0.0004359994445056629	0.00044163547975351123	0.0004633816810954076
K00112	2.2217198720052892e-05	2.3295146876772053e-05	1.3038310223880031e-05
K00113	2.193283913348132e-05	8.591542715484001e-06	2.6290490148095224e-06
K00114	6.690735413889427e-08	1.0880624277905523e-06	1.7041973539173712e-06
K00115	0.0	0.0	1.7567403143797307e-09
K00116	8.256825014258484e-07	3.1231837289940495e-07	1.636469831719148e-06
K00117	1.3647338505949492e-06	7.281323042926971e-07	6.610525420063364e-07
K00119	7.373169888316418e-07	1.087183143844563e-07	5.185907174201554e-08
K00120	0.0	0.0	6.179701874373433e-09
K00121	5.186848604536694e-07	3.1865490780972376e-07	4.072317874222273e-07
K00122	1.0271196565641142e-08	0.0	0.0
K00123	7.65169029915602e-05	3.4804975758271336e-05	2.3741986748751154e-05
K00124	1.0674742495077474e-06	3.4235220566801025e-06	1.121784608554022e-06
K00125	8.030410973627917e-09	3.565593986240804e-08	2.0770818347844912e-08
K00127	7.1900202388795e-08	1.3446732087396982e-07	1.68735666099807e-07
K00128	9.136153878110157e-05	0.00026175432904508453	0.00011790893350461317
K00129	7.969853118530311e-07	2.293358509439341e-07	7.986456294304485e-08
K00130	1.4228770279590435e-06	8.215902747426952e-07	3.706921148679681e-07
K00131	2.911184716364233e-07	2.68024179723835e-07	9.060872197978521e-07
K00132	2.324926331233857e-06	6.2971367860341994e-06	2.103168837108731e-06
K00133	0.0001830871368336889	0.00033887716827579327	0.0002134164331467394
K00134	0.0009067140052081955	0.0008615246378431567	0.0011394617484683527
K00135	3.479374113065632e-05	1.4861961568175079e-05	1.132636113901126e-05
K00137	1.1039735000092199e-07	2.1132947265614228e-07	7.490480685780793e-08
K00138	4.490521456409015e-05	1.821258511945109e-05	8.997188404287623e-06
K00139	7.048124310870523e-09	1.1900700054904231e-08	7.732395641767381e-08
K00140	7.0240633514218605e-06	4.2284001792512934e-06	2.4473643892567594e-06
K00141	4.619955530945018e-06	2.502207299965585e-06	2.0610891474638473e-06
K00142	1.0600170862034864e-08	3.981296810442144e-08	7.328530878284728e-08
K00143	4.684356119769064e-08	9.535044976532155e-08	2.813462580336378e-08
K00145	0.0001841151596745913	0.00016647983852756363	0.00010540193629252554
K00146	7.806438006790612e-06	1.6116811757886412e-06	1.8445391884043428e-06
K00147	0.002066956894419468	0.002171264382944043	0.002029514945933934
