#parent	child
0	1
0	2
0	3
1	4
1	5
1	6
2	7
2	8
2	9
3	10
3	11
3	12
4	13
4	14
4	15
5	16
5	17
5	18
6	19
6	20
6	21
7	22
7	23
7	24
8	25
8	26
8	27
9	28
9	29
9	30
10	31
10	32
10	33
11	34
11	35
11	36
12	37
12	38
12	39
13	40
13	41
13	42
14	43
14	44
14	45
15	46
15	47
15	48
16	49
16	50
16	51
17	52
17	53
17	54
18	55
18	56
18	57
19	58
19	59
19	60
20	61
20	62
20	63
21	64
21	65
21	66
22	67
22	68
22	69
23	70
23	71
23	72
24	73
24	74
24	75
25	76
25	77
25	78
26	79
26	80
26	81
27	82
27	83
27	84
28	85
28	86
28	87
29	88
29	89
29	90
30	91
30	92
30	93
31	94
31	95
31	96
32	97
32	98
32	99
