#parent	child	edge_length
0	1	0.18171697360848882
0	2	0.5187094324667967
0	3	0.46059342541752746
1	4	0.52600311477962
1	5	0.42218947721610567
1	6	0.7278633857056297
2	7	0.8506322408052555
2	8	0.15256421289763733
2	9	0.9614554433284643
3	10	0.6510313946090749
3	11	0.09213546705490994
3	12	0.03728616799225415
4	13	0.10019965921215102
4	14	0.0937302802844977
4	15	0.12718306102561994
5	16	0.8135578513805314
5	17	0.706493915434956
5	18	0.6188850373063163
6	19	0.0807035090860494
6	20	0.16850480659444167
6	21	0.0036696275226343333
7	22	0.44293390359280094
7	23	0.8936648469228099
7	24	0.6848658585216864
8	25	0.5655327694594876
8	26	0.7734377497432334
8	27	0.45617915019620536
9	28	0.7795440457940633
9	29	0.9715030106849729
9	30	0.23125521028584606
10	31	0.1175063964898877
10	32	0.5964859332911099
10	33	0.4540223604496353
11	34	0.763127987254368
11	35	0.06696082143755067
11	36	0.905918004364061
12	37	0.4408150194116781
12	38	0.9441901594010996
12	39	0.1566589098728144
13	40	0.9080263212211193
13	41	0.5557654614816622
13	42	0.25323751338290545
14	43	0.34553614903326546
14	44	0.3363271124047582
14	45	0.73873310806797
15	46	0.5586591365283429
15	47	0.04704495990721813
15	48	0.2169432594502576
16	49	0.8427847900507074
16	50	0.7570729764293557
16	51	0.5437424891391567
17	52	0.49427462691373103
17	53	0.8012589170821224
17	54	0.08342173506240413
18	55	0.31096415979038416
18	56	0.9176201153204627
18	57	0.32213174338487416
19	58	0.28852398876557384
19	59	0.36775043121407236
19	60	0.39220623781073427
20	61	0.9332795225379312
20	62	0.8134749989823213
20	63	0.20271943808494908
21	64	0.19607000487904036
21	65	0.9090586452736547
21	66	0.7208474948442202
22	67	0.15991904029653092
22	68	0.9252878166504113
22	69	0.7860013812667024
23	70	0.9284456278595822
23	71	0.500289459681143
23	72	0.6064286094736173
24	73	0.6677337146617619
24	74	0.9953259073946398
24	75	0.3461859739570794
25	76	0.47756569860960707
25	77	0.553980516588635
25	78	0.15774313972259812
26	79	0.8031158469640582
26	80	0.13049188580753512
26	81	0.6591787920069236
27	82	0.8353207014160767
27	83	0.8776714150560433
27	84	0.609156761560448
28	85	0.9535736328430107
28	86	0.7766651046074255
28	87	0.886382999659662
29	88	0.814067792145082
29	89	0.35197352062771203
29	90	0.36422770588490516
30	91	0.22925834365053632
30	92	0.2349605757530373
30	93	0.28719245282235006
31	94	0.8169386655767163
31	95	0.2947296672950218
31	96	0.008911534093766105
32	97	0.6547233613368786
32	98	0.09528829143241391
32	99	0.6408443303178075
33	100	0.784411462096199
33	101	0.7781072639278686
33	102	0.4824055428981898
34	103	0.23536663730556784
34	104	0.18974267041988235
34	105	0.6246745140382814
35	106	0.13411570339739043
35	107	0.5461722318239081
35	108	0.1672952366550814
36	109	0.8543899748274021
36	110	0.6157772874581608
36	111	0.06651013877108136
37	112	0.8834032660927118
37	113	0.0768470507958049
37	114	0.38320469678708846
38	115	0.7331350450800932
38	116	0.5509257568172544
38	117	0.1897405546208878
39	118	0.07490438033098468
39	119	0.9022891502290785
39	120	0.05421864560055001
40	121	0.810135864122131
40	122	0.8561002217526464
40	123	0.6345172906883106
41	124	0.9833722735393435
41	125	0.17642179917337197
41	126	0.12778405543384264
42	127	0.957446606848214
42	128	0.2291288461195562
42	129	0.37221711476062613
43	130	0.29672289332889534
43	131	0.372445649505192
43	132	0.2485177607771567
44	133	0.8960415002190227
44	134	0.9793984574182031
44	135	0.6442365206731097
45	136	0.04535657923906078
45	137	0.525372827361418
45	138	0.9870195168738192
46	139	0.05984869445431629
46	140	0.6795144354279163
46	141	0.8151032663302575
47	142	0.555708750872868
47	143	0.49639138550012163
47	144	0.10952988812544695
48	145	0.21580581455208447
48	146	0.32894469981380603
48	147	0.17150053772933604
49	148	0.5457197929349722
49	149	0.5185482264744382
49	150	0.8131008889155538
50	151	0.6444458460664375
50	152	0.7003378044437731
50	153	0.2927629560771442
51	154	0.828956704149828
51	155	0.06100751757608136
51	156	0.8077253844872766
52	157	0.3984248140729125
52	158	0.2846504328169125
52	159	0.8728205392022678
53	160	0.5975737236690788
53	161	0.46104894689863696
53	162	0.2569300941642354
54	163	0.09259792253063615
54	164	0.22056964401463552
54	165	0.04309211597055007
55	166	0.37511233969480196
55	167	0.8946335073308959
55	168	0.8129700571514619
56	169	0.6945569546174063
56	170	0.4745411068784482
56	171	0.5903862756563922
57	172	0.898955196883227
57	173	0.2598145801984113
57	174	0.08244842274568265
58	175	0.4918194223608102
58	176	0.7119382392028238
58	177	0.40919054407519084
59	178	0.44589025720391195
59	179	0.42520813579253636
59	180	0.9286679557429958
60	181	0.30740427612027144
60	182	0.7137225620303909
60	183	0.5443113948667492
61	184	0.572882556070504
61	185	0.9139367516339416
61	186	0.5266277404743027
62	187	0.7116319210215291
62	188	0.2542368864210789
62	189	0.1262788734402971
63	190	0.566781183594276
63	191	0.8518307795302622
63	192	0.6639106550894761
64	193	0.14947205007426623
64	194	0.2633580709504417
64	195	0.32298104587565946
65	196	0.2335749975826541
65	197	0.5396007148031267
65	198	0.711920649366223
66	199	0.00402470155545831
66	200	0.5658671330788457
66	201	0.7774312817123626
67	202	0.058379848128570666
67	203	0.3404115969155268
67	204	0.8232236525180218
68	205	0.6778162732369069
68	206	0.05290599502939519
68	207	0.6282430486438232
69	208	0.39385920037944344
69	209	0.5892136008270112
69	210	0.6597579417926744
70	211	0.5097817630952912
70	212	0.3095491337154105
70	213	0.15495338658582425
71	214	0.6349566381421449
71	215	0.24318492912825485
71	216	0.9931608406639221
72	217	0.027284310069991213
72	218	0.7986880650926638
72	219	0.3042075886454424
73	220	0.31018592620734886
73	221	0.11788418722800398
73	222	0.3950769111125866
74	223	0.3694610454499042
74	224	0.3298868863168577
74	225	0.9873696363610109
75	226	0.8162751446766399
75	227	0.5129116129270088
