#parent	child
ko00001	09175 Drug resistance: antimicrobial
01502 Vancomycin resistance	K01929
01501 beta-Lactam resistance	K01207
01501 beta-Lactam resistance	K01467
01501 beta-Lactam resistance	K18148
01501 beta-Lactam resistance	K18150
01501 beta-Lactam resistance	K17837
01501 beta-Lactam resistance	K17838
09175 Drug resistance: antimicrobial	01501 beta-Lactam resistance
09175 Drug resistance: antimicrobial	01503 Cationic antimicrobial peptide (CAMP) resistance
09175 Drug resistance: antimicrobial	01502 Vancomycin resistance
01503 Cationic antimicrobial peptide (CAMP) resistance	K10011
01503 Cationic antimicrobial peptide (CAMP) resistance	K10012
01503 Cationic antimicrobial peptide (CAMP) resistance	K13014
01503 Cationic antimicrobial peptide (CAMP) resistance	K14198
01503 Cationic antimicrobial peptide (CAMP) resistance	K12963
01503 Cationic antimicrobial peptide (CAMP) resistance	K19238
01503 Cationic antimicrobial peptide (CAMP) resistance	K19239
01503 Cationic antimicrobial peptide (CAMP) resistance	K06079
01503 Cationic antimicrobial peptide (CAMP) resistance	K19240
