#parent	child
00650 Butanoate metabolism	K18118
00650 Butanoate metabolism	K00656
00650 Butanoate metabolism	K00132
00650 Butanoate metabolism	K00023
00650 Butanoate metabolism	K17865
00650 Butanoate metabolism	K18121
00650 Butanoate metabolism	K07246
00650 Butanoate metabolism	K01715
00650 Butanoate metabolism	K17829
00650 Butanoate metabolism	K00929
00650 Butanoate metabolism	K00634
00650 Butanoate metabolism	K00100
00650 Butanoate metabolism	K21317
00650 Butanoate metabolism	K21318
00650 Butanoate metabolism	K21319
00650 Butanoate metabolism	K21320
00650 Butanoate metabolism	K21321
00650 Butanoate metabolism	K21322
00650 Butanoate metabolism	K03821
00650 Butanoate metabolism	K22881
00650 Butanoate metabolism	K05973
00650 Butanoate metabolism	K00109
00650 Butanoate metabolism	K18119
00650 Butanoate metabolism	K18120
00650 Butanoate metabolism	K00043
00650 Butanoate metabolism	K08318
00650 Butanoate metabolism	K18122
00650 Butanoate metabolism	K00019
00650 Butanoate metabolism	K07518
00650 Butanoate metabolism	K01574
00650 Butanoate metabolism	K18223
00650 Butanoate metabolism	K18224
00650 Butanoate metabolism	K18226
00650 Butanoate metabolism	K18225
00650 Butanoate metabolism	K23259
00650 Butanoate metabolism	K18382
00650 Butanoate metabolism	K18369
00650 Butanoate metabolism	K18370
00650 Butanoate metabolism	K18371
00650 Butanoate metabolism	K18372
00650 Butanoate metabolism	K00004
00650 Butanoate metabolism	K03366
00650 Butanoate metabolism	K18009
00941 Flavonoid biosynthesis	K13065
00941 Flavonoid biosynthesis	K00588
00941 Flavonoid biosynthesis	K01859
00941 Flavonoid biosynthesis	K00475
00941 Flavonoid biosynthesis	K05278
00941 Flavonoid biosynthesis	K08243
00941 Flavonoid biosynthesis	K13082
00941 Flavonoid biosynthesis	K05277
00941 Flavonoid biosynthesis	K08695
00941 Flavonoid biosynthesis	K13081
00941 Flavonoid biosynthesis	K23053
00941 Flavonoid biosynthesis	K22440
00941 Flavonoid biosynthesis	K13078
00941 Flavonoid biosynthesis	K21581
00941 Flavonoid biosynthesis	K21582
00941 Flavonoid biosynthesis	K13079
00040 Pentose and glucuronate interconversions	K22539
00040 Pentose and glucuronate interconversions	K19551
00040 Pentose and glucuronate interconversions	K01731
00040 Pentose and glucuronate interconversions	K22994
00040 Pentose and glucuronate interconversions	K01730
00040 Pentose and glucuronate interconversions	K01815
00040 Pentose and glucuronate interconversions	K00065
00040 Pentose and glucuronate interconversions	K01184
00040 Pentose and glucuronate interconversions	K01213
00040 Pentose and glucuronate interconversions	K22933
00040 Pentose and glucuronate interconversions	K01812
00040 Pentose and glucuronate interconversions	K00041
00040 Pentose and glucuronate interconversions	K01685
00040 Pentose and glucuronate interconversions	K16849
00040 Pentose and glucuronate interconversions	K16850
00040 Pentose and glucuronate interconversions	K01686
00040 Pentose and glucuronate interconversions	K08323
00040 Pentose and glucuronate interconversions	K08322
00040 Pentose and glucuronate interconversions	K00040
00040 Pentose and glucuronate interconversions	K21619
00040 Pentose and glucuronate interconversions	K18106
00040 Pentose and glucuronate interconversions	K19634
00040 Pentose and glucuronate interconversions	K18102
00040 Pentose and glucuronate interconversions	K18103
00040 Pentose and glucuronate interconversions	K18107
00040 Pentose and glucuronate interconversions	K13247
00040 Pentose and glucuronate interconversions	K01804
00040 Pentose and glucuronate interconversions	K00853
00040 Pentose and glucuronate interconversions	K24707
00040 Pentose and glucuronate interconversions	K00854
00040 Pentose and glucuronate interconversions	K17743
00040 Pentose and glucuronate interconversions	K26066
00040 Pentose and glucuronate interconversions	K03331
00040 Pentose and glucuronate interconversions	K25879
00040 Pentose and glucuronate interconversions	K25880
00040 Pentose and glucuronate interconversions	K25881
