#parent	child
ko00001	09180 Brite Hierarchies
09180 Brite Hierarchies	09182 Protein families: genetic information processing
09182 Protein families: genetic information processing	ko04131
ko04131	K00844
ko00001	09160 Human Diseases
09160 Human Diseases	09167 Endocrine and metabolic disease
04950 Maturity onset diabetes of the young	K12407
ko00001	09100 Metabolism
09100 Metabolism	09110 Biosynthesis of other secondary metabolites
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes
09183 Protein families: signaling and cellular processes	ko04147
ko04147	K01810
09100 Metabolism	09101 Carbohydrate metabolism
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism
00520 Amino sugar and nucleotide sugar metabolism	K06859
00520 Amino sugar and nucleotide sugar metabolism	K13810
00520 Amino sugar and nucleotide sugar metabolism	K15916
09100 Metabolism	09102 Energy metabolism
09102 Energy metabolism	00680 Methane metabolism
00680 Methane metabolism	K24182
09182 Protein families: genetic information processing	ko03019
ko03019	K00850
00680 Methane metabolism	K16370
00680 Methane metabolism	K21071
00680 Methane metabolism	K00918
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism
00051 Fructose and mannose metabolism	K00895
ko04147	K03841
00680 Methane metabolism	K02446
00680 Methane metabolism	K11532
00680 Methane metabolism	K01086
00680 Methane metabolism	K04041
ko04147	K01623
00680 Methane metabolism	K11645
00680 Methane metabolism	K01624
00680 Methane metabolism	K01622
09100 Metabolism	09105 Amino acid metabolism
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306
ko04147	K01803
ko04147	K00134
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis
00010 Glycolysis / Gluconeogenesis	K10705
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms
00710 Carbon fixation in photosynthetic organisms	K00150
ko04147	K00927
ko04147	K01834
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism
00260 Glycine, serine and threonine metabolism	K15634
00260 Glycine, serine and threonine metabolism	K15633
00260 Glycine, serine and threonine metabolism	K15635
ko04147	K01689
ko04147	K00873
ko04147	K12406
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes
00720 Carbon fixation pathways in prokaryotes	K01006
00680 Methane metabolism	K01007
09101 Carbohydrate metabolism	00620 Pyruvate metabolism
00620 Pyruvate metabolism	K00163
09160 Human Diseases	09166 Cardiovascular disease
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy
05415 Diabetic cardiomyopathy	K00161
05415 Diabetic cardiomyopathy	K00162
00620 Pyruvate metabolism	K00627
ko04147	K00382
09113 Global maps only	K13997
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation
00633 Nitrotoluene degradation	K00169
00633 Nitrotoluene degradation	K00170
00633 Nitrotoluene degradation	K00172
00633 Nitrotoluene degradation	K00189
00633 Nitrotoluene degradation	K00171
00720 Carbon fixation pathways in prokaryotes	K03737
00720 Carbon fixation pathways in prokaryotes	K00174
00720 Carbon fixation pathways in prokaryotes	K00175
ko04147	K00016
00010 Glycolysis / Gluconeogenesis	K01568
09167 Endocrine and metabolic disease	04936 Alcoholic liver disease
04936 Alcoholic liver disease	K13951
04936 Alcoholic liver disease	K13980
04936 Alcoholic liver disease	K00121
04936 Alcoholic liver disease	K13952
09160 Human Diseases	09174 Infectious disease: parasitic
09174 Infectious disease: parasitic	05146 Amoebiasis
05146 Amoebiasis	K04072
09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450
00982 Drug metabolism - cytochrome P450	K13953
09111 Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation
00626 Naphthalene degradation	K13954
09105 Amino acid metabolism	00350 Tyrosine metabolism
00350 Tyrosine metabolism	K18857
00982 Drug metabolism - cytochrome P450	K00001
ko04147	K00002
09100 Metabolism	09109 Metabolism of terpenoids and polyketides
09109 Metabolism of terpenoids and polyketides	00281 Geraniol degradation
00281 Geraniol degradation	K12957
09100 Metabolism	09103 Lipid metabolism
09103 Lipid metabolism	00561 Glycerolipid metabolism
00561 Glycerolipid metabolism	K13979
09111 Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation
00625 Chloroalkane and chloroalkene degradation	K14028
00625 Chloroalkane and chloroalkene degradation	K14029
00625 Chloroalkane and chloroalkene degradation	K00114
00620 Pyruvate metabolism	K04022
00620 Pyruvate metabolism	K22473
00620 Pyruvate metabolism	K22474
04936 Alcoholic liver disease	K00128
04936 Alcoholic liver disease	K14085
04936 Alcoholic liver disease	K00149
00982 Drug metabolism - cytochrome P450	K00129
00620 Pyruvate metabolism	K00138
09180 Brite Hierarchies	09181 Protein families: metabolism
09181 Protein families: metabolism	ko01004
ko01004	K01895
ko01004	K01913
ko01004	K01905
ko01004	K22224
ko01004	K24012
09101 Carbohydrate metabolism	00052 Galactose metabolism
00052 Galactose metabolism	K01785
00010 Glycolysis / Gluconeogenesis	K01085
00010 Glycolysis / Gluconeogenesis	K20866
09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis
00521 Streptomycin biosynthesis	K01835
00521 Streptomycin biosynthesis	K15778
09100 Metabolism	09104 Nucleotide metabolism
09104 Nucleotide metabolism	00230 Purine metabolism
00230 Purine metabolism	K15779
09167 Endocrine and metabolic disease	04931 Insulin resistance
04931 Insulin resistance	K01084
