#parent	child	edge_length
99974 Translation	K20815	0.15192445618251754
99974 Translation	K13926	0.43593600840619656
99974 Translation	K16634	0.4929674762086886
99974 Translation	K15025	0.3938851419807654
99974 Translation	K07570	0.4229906014576073
99974 Translation	K07571	0.31760625641428525
99974 Translation	K07572	0.9778988752121225
99974 Translation	K07576	0.48084785834582694
99974 Translation	K07577	0.13207757136102138
99974 Translation	K07578	0.8760638838243183
99974 Translation	K07579	0.9590670162687385
99974 Translation	K07580	0.25953045474908726
99974 Translation	K07581	0.8649433483995936
99974 Translation	K07585	0.5986506093717612
99974 Translation	K23048	0.2803394081655001
09192 Unclassified: genetic information processing	99973 Transcription	0.5082833353068594
09192 Unclassified: genetic information processing	99974 Translation	0.9848120366239737
09192 Unclassified: genetic information processing	99975 Protein processing	1.1864284391577007
09192 Unclassified: genetic information processing	99976 Replication and repair	0.7213320578605296
09192 Unclassified: genetic information processing	99998 Others	0.7651241590398177
99973 Transcription	K02466	0.04545216452154513
99973 Transcription	K03627	0.11961051159940722
99973 Transcription	K03622	0.7876915895554694
99973 Transcription	K03623	0.07573536735455215
99973 Transcription	K03704	0.9619409953586073
99973 Transcription	K07591	0.4231592311672467
99973 Transcription	K04796	0.2549835307101188
99973 Transcription	K11100	0.363876808288988
99973 Transcription	K07740	0.72895184051522
99973 Transcription	K07741	1.0035063719294033
99973 Transcription	K07802	0.8521272082805289
99973 Transcription	K08278	0.304919268123304
99973 Transcription	K15833	0.5820955766935398
99973 Transcription	K15834	0.2678697772003351
99973 Transcription	K02589	0.3120181079453595
99973 Transcription	K02590	0.7977194366566108
99973 Transcription	K04752	0.17505419565944552
99973 Transcription	K16335	0.206206951364817
99973 Transcription	K16509	0.2983591585096052
99973 Transcription	K18666	0.21700999633505752
99973 Transcription	K18667	0.35395743069961494
99973 Transcription	K18774	0.8071038890274187
99973 Transcription	K19325	0.4281250003647507
99973 Transcription	K19432	0.3057778034755876
99973 Transcription	K19495	0.8259239719027855
99973 Transcription	K19512	0.44876833012958756
99973 Transcription	K06959	0.2833170569981145
99973 Transcription	K21389	0.3055548303684855
99973 Transcription	K21390	0.857327027997166
99973 Transcription	K21391	0.8328093762396331
99973 Transcription	K21554	0.16041969153942112
99973 Transcription	K21627	0.7148979034659334
99973 Transcription	K21628	0.9434647737704069
99973 Transcription	K21629	0.28240109982445505
99973 Transcription	K21640	0.7318672634303341
99973 Transcription	K21753	0.32998381265667004
99973 Transcription	K22383	0.11580187308336562
99973 Transcription	K22388	0.025371115837174076
99973 Transcription	K22403	0.7856013411439015
99973 Transcription	K22525	0.05659222630664359
99973 Transcription	K22526	0.24128320654645727
99973 Transcription	K22527	0.01017768929464843
99973 Transcription	K22528	0.31108414483504493
99973 Transcription	K22649	0.29884216008732073
99973 Transcription	K07743	0.778701158850925
99973 Transcription	K07744	0.7160726586883197
99973 Transcription	K07745	0.09605211215997203
99973 Transcription	K24380	0.22683517980372678
99973 Transcription	K24397	0.6452035482894298
99973 Transcription	K09777	0.8162306253695334
99973 Transcription	K24648	0.645900155805609
99973 Transcription	K24724	0.39642765188801193
99973 Transcription	K25826	0.07979899378876684
99975 Protein processing	K03668	0.13024468375557163
99975 Protein processing	K06891	0.5969599250703982
99975 Protein processing	K19411	0.719681595279906
99975 Protein processing	K03545	0.2178174029276242
99975 Protein processing	K17247	0.47783795281436564
99975 Protein processing	K02380	0.9162569096696284
99975 Protein processing	K03187	0.21582593790195054
99975 Protein processing	K03188	0.37264689126148887
99975 Protein processing	K03189	0.17155255611802042
99975 Protein processing	K03190	0.212929529306337
99975 Protein processing	K03192	0.5970363793005335
99975 Protein processing	K04653	0.6248728887551248
99975 Protein processing	K04654	0.4694882478966507
99975 Protein processing	K04655	0.7659879699602615
99975 Protein processing	K04656	0.517500131106473
99975 Protein processing	K07388	0.9945468608694237
99975 Protein processing	K06191	0.7709062940387803
99975 Protein processing	K07391	0.83206573272893
99975 Protein processing	K07392	0.534612686580384
