#parent	child	edge_length
05215 Prostate cancer	K12344	0.5189250430448398
05221 Acute myeloid leukemia	K02162	0.21203573854489777
05223 Non-small cell lung cancer	K01522	0.6101805642157401
05223 Non-small cell lung cancer	K09850	0.5391250250290747
05223 Non-small cell lung cancer	K08015	0.436357114140983
05210 Colorectal cancer	K06765	0.3377593340587677
05217 Basal cell carcinoma	K06225	0.1979152332871129
05217 Basal cell carcinoma	K11101	0.34376816840410795
05217 Basal cell carcinoma	K06231	0.6955316935079962
05225 Hepatocellular carcinoma	K22182	0.2244212423873757
05212 Pancreatic cancer	K08732	0.2750917094329423
05216 Thyroid cancer	K09289	0.33537751630723633
05216 Thyroid cancer	K09288	0.48746041159165987
05216 Thyroid cancer	K09292	0.7069357762121942
09162 Cancer: specific types	05215 Prostate cancer	0.5189250430448398
09162 Cancer: specific types	05223 Non-small cell lung cancer	0.9395273609793711
09162 Cancer: specific types	05219 Bladder cancer	0.773240719307213
09162 Cancer: specific types	05225 Hepatocellular carcinoma	0.2244212423873757
09162 Cancer: specific types	05212 Pancreatic cancer	0.2750917094329423
09162 Cancer: specific types	05211 Renal cell carcinoma	0.7731936715468213
09162 Cancer: specific types	05217 Basal cell carcinoma	0.6310138768445764
09162 Cancer: specific types	05222 Small cell lung cancer	1.0043518651715355
09162 Cancer: specific types	05221 Acute myeloid leukemia	0.21203573854489777
09162 Cancer: specific types	05216 Thyroid cancer	0.851699574791539
09162 Cancer: specific types	05210 Colorectal cancer	0.3377593340587677
05219 Bladder cancer	K00758	0.773240719307213
05211 Renal cell carcinoma	K06277	0.08847831020793306
05211 Renal cell carcinoma	K09592	0.3906454453753959
05211 Renal cell carcinoma	K09594	0.8154633465347746
05222 Small cell lung cancer	K03172	0.27694848512786585
05222 Small cell lung cancer	K02219	0.7060462664719633
05222 Small cell lung cancer	K09848	0.10275173473221066
