#parent	child	edge_length
ko00001	09180 Brite Hierarchies	0.3762917493818858
09180 Brite Hierarchies	09182 Protein families: genetic information processing	2.220446049250313e-16
09182 Protein families: genetic information processing	ko04131	2.220446049250313e-16
ko04131	K00844	0.1370147963672065
ko00001	09160 Human Diseases	2.220446049250313e-16
09160 Human Diseases	09167 Endocrine and metabolic disease	0.3383235124203142
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	2.220446049250313e-16
04950 Maturity onset diabetes of the young	K12407	0.5
ko00001	09100 Metabolism	2.220446049250313e-16
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	2.220446049250313e-16
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	2.220446049250313e-16
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	0.1449478265607426
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	0.1012463996957925
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	2.220446049250313e-16
09183 Protein families: signaling and cellular processes	ko04147	0.0111397311895781
ko04147	K01810	0.1125685194285359
09100 Metabolism	09101 Carbohydrate metabolism	0.3550521734392574
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	2.220446049250313e-16
00520 Amino sugar and nucleotide sugar metabolism	K06859	0.5
00520 Amino sugar and nucleotide sugar metabolism	K13810	0.5
00520 Amino sugar and nucleotide sugar metabolism	K15916	0.5
09100 Metabolism	09102 Energy metabolism	0.3550521734392574
09102 Energy metabolism	00680 Methane metabolism	2.220446049250313e-16
00680 Methane metabolism	K24182	0.5
09182 Protein families: genetic information processing	ko03019	0.0003171347826907
ko03019	K00850	0.1268382044826788
00680 Methane metabolism	K16370	0.5
00680 Methane metabolism	K21071	0.1408656943833345
00680 Methane metabolism	K00918	0.5
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	2.220446049250313e-16
00051 Fructose and mannose metabolism	K00895	0.168513789916853
ko04147	K03841	0.1451019627610105
00680 Methane metabolism	K02446	0.5
00680 Methane metabolism	K11532	0.5
00680 Methane metabolism	K01086	0.5
00680 Methane metabolism	K04041	0.2028995903389994
ko04147	K01623	0.1824419430518707
00680 Methane metabolism	K11645	0.5
00680 Methane metabolism	K01624	0.1370031466138833
