#parent	child	edge_length
ko00001	09180 Brite Hierarchies	2.621987060575328
09180 Brite Hierarchies	09182 Protein families: genetic information processing	2.9821957387785973
09182 Protein families: genetic information processing	ko04131	0.9167346383675513
ko04131	K00844	0.24798410602758247
ko00001	09160 Human Diseases	1.9983783110651603
09160 Human Diseases	09167 Endocrine and metabolic disease	1.6522611057980774
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	1.3848214809454773
04950 Maturity onset diabetes of the young	K12407	1.1104575142652613
ko00001	09100 Metabolism	1.0112585084566414
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	1.961985887283233
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	1.1847913946744413
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	2.4192659483645444
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	1.7968575267097218
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	1.4249144115446566
09183 Protein families: signaling and cellular processes	ko04147	1.354884119068898
ko04147	K01810	0.39914184206457526
09100 Metabolism	09101 Carbohydrate metabolism	0.2824868213480466
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	1.1156163818704155
00520 Amino sugar and nucleotide sugar metabolism	K06859	0.24562384464800635
00520 Amino sugar and nucleotide sugar metabolism	K13810	0.8609108431163142
00520 Amino sugar and nucleotide sugar metabolism	K15916	1.3759393295611628
09100 Metabolism	09102 Energy metabolism	1.3950476566816166
09102 Energy metabolism	00680 Methane metabolism	0.3006903502018765
00680 Methane metabolism	K24182	1.1905057761073208
09182 Protein families: genetic information processing	ko03019	1.3790539212806732
ko03019	K00850	0.9738747687724418
00680 Methane metabolism	K16370	0.3084488956820859
00680 Methane metabolism	K21071	1.556466197505253
00680 Methane metabolism	K00918	0.5707816539945559
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	0.04586166011219761
00051 Fructose and mannose metabolism	K00895	1.1148232705768966
ko04147	K03841	0.34538856298070086
00680 Methane metabolism	K02446	0.6812556863114613
00680 Methane metabolism	K11532	0.5428441955604948
00680 Methane metabolism	K01086	0.7368910412129865
00680 Methane metabolism	K04041	0.02687069656644181
ko04147	K01623	1.7747755872779751
00680 Methane metabolism	K11645	0.9785186952030756
00680 Methane metabolism	K01624	1.1611883052009264
00680 Methane metabolism	K01622	1.958854334126709
09100 Metabolism	09105 Amino acid metabolism	0.8668149030246236
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	0.042496266606522615
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305	1.5699563403283836
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306	1.0492142664175628
ko04147	K01803	1.2497550046925456
ko04147	K00134	1.0343988606258294
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	1.6265280049498978
00010 Glycolysis / Gluconeogenesis	K10705	0.9523175800899191
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	0.6508397573610086
00710 Carbon fixation in photosynthetic organisms	K00150	0.9238229918694347
ko04147	K00927	0.2539618472648535
ko04147	K01834	1.4649091829499137
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	0.940589212794644
00260 Glycine, serine and threonine metabolism	K15634	0.6889445212386689
00260 Glycine, serine and threonine metabolism	K15633	0.7439308225354906
00260 Glycine, serine and threonine metabolism	K15635	0.09405787865093695
ko04147	K01689	1.6467771644393705
ko04147	K00873	0.8780423606666223
ko04147	K12406	0.39420679032199013
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	0.5363917066716694
00720 Carbon fixation pathways in prokaryotes	K01006	2.74493630083618
00680 Methane metabolism	K01007	0.14763510706206362
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	0.6058739327552789
00620 Pyruvate metabolism	K00163	0.9104317127384769
09160 Human Diseases	09166 Cardiovascular disease	1.8752862454362096
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy	0.5244684983537176
05415 Diabetic cardiomyopathy	K00161	1.433405542463913
05415 Diabetic cardiomyopathy	K00162	0.5009742280495784
00620 Pyruvate metabolism	K00627	0.26391718853738166
ko04147	K00382	0.9026555315086179
09100 Metabolism	09112 Not included in regular maps	0.6106790796841427
09112 Not included in regular maps	09113 Global maps only	1.679314231302485
09113 Global maps only	K13997	0.4687705641511777
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism	1.6374932864049951
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation	0.8882173272359786
00633 Nitrotoluene degradation	K00169	1.086715573104587
00633 Nitrotoluene degradation	K00170	1.9335476661593491
00633 Nitrotoluene degradation	K00172	1.8219791956442453
00633 Nitrotoluene degradation	K00189	0.902128846974481
00633 Nitrotoluene degradation	K00171	1.70998083238015
00720 Carbon fixation pathways in prokaryotes	K03737	0.3020987218397051
00720 Carbon fixation pathways in prokaryotes	K00174	2.948608750217077
00720 Carbon fixation pathways in prokaryotes	K00175	0.9069838026238185
ko04147	K00016	0.7411036131190163
00010 Glycolysis / Gluconeogenesis	K01568	1.7318338412061534
09167 Endocrine and metabolic disease	04936 Alcoholic liver disease	0.2955165300251804
04936 Alcoholic liver disease	K13951	2.410851293217478
04936 Alcoholic liver disease	K13980	1.6467965828636175
04936 Alcoholic liver disease	K00121	0.8403637357427627
04936 Alcoholic liver disease	K13952	0.6659903223936573
09160 Human Diseases	09174 Infectious disease: parasitic	0.5441306487744424
09174 Infectious disease: parasitic	05146 Amoebiasis	0.3258370360049381
05146 Amoebiasis	K04072	0.07260394092256384
09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450	0.8738740509861322
00982 Drug metabolism - cytochrome P450	K13953	1.9206690047145225
09111 Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation	0.7299665637282402
00626 Naphthalene degradation	K13954	1.0588875576140915
09105 Amino acid metabolism	00350 Tyrosine metabolism	1.5292196863075342
00350 Tyrosine metabolism	K18857	0.38686979722493287
00982 Drug metabolism - cytochrome P450	K00001	0.018144331165995453
ko04147	K00002	0.24289273592794003
09100 Metabolism	09109 Metabolism of terpenoids and polyketides	0.1112854769899494
09109 Metabolism of terpenoids and polyketides	00281 Geraniol degradation	0.016312576664304856
00281 Geraniol degradation	K12957	0.6511485525950896
09100 Metabolism	09103 Lipid metabolism	1.1578019511927757
09103 Lipid metabolism	00561 Glycerolipid metabolism	0.3011990269966922
00561 Glycerolipid metabolism	K13979	0.12419749200493757
09111 Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation	0.06935810428460698
00625 Chloroalkane and chloroalkene degradation	K14028	0.03445956749422652
00625 Chloroalkane and chloroalkene degradation	K14029	1.4717916059313236
00625 Chloroalkane and chloroalkene degradation	K00114	0.3407621441638098
00620 Pyruvate metabolism	K04022	1.721928545805653
00620 Pyruvate metabolism	K22473	1.0520308034874466
00620 Pyruvate metabolism	K22474	2.690379608298873
04936 Alcoholic liver disease	K00128	0.20539118827008773
04936 Alcoholic liver disease	K14085	0.5660612639574354
04936 Alcoholic liver disease	K00149	0.00160621328472621
00982 Drug metabolism - cytochrome P450	K00129	1.4733147992068056
00620 Pyruvate metabolism	K00138	0.9862128419300923
09180 Brite Hierarchies	09181 Protein families: metabolism	0.657913346446148
09181 Protein families: metabolism	ko01004	0.9532239615316195
ko01004	K01895	0.6835678514787988
ko01004	K01913	0.3772702759967117
ko01004	K01905	1.6881967850216484
ko01004	K22224	0.4254041852150453
ko01004	K24012	0.4972839644351219
09101 Carbohydrate metabolism	00052 Galactose metabolism	0.8526312554306212
00052 Galactose metabolism	K01785	0.18891860047696118
00010 Glycolysis / Gluconeogenesis	K01085	0.7230417362400112
00010 Glycolysis / Gluconeogenesis	K20866	0.7605417289300048
