#parent	child	edge_length
ko00001	09180 Brite Hierarchies	0.1400919116340686
09180 Brite Hierarchies	09182 Protein families: genetic information processing	2.220446049250313e-16
09182 Protein families: genetic information processing	ko04131	2.220446049250313e-16
ko04131	K00844	0.1339734814138667
ko00001	09160 Human Diseases	2.220446049250313e-16
09160 Human Diseases	09167 Endocrine and metabolic disease	0.1119181851977026
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	0.0361911386172478
04950 Maturity onset diabetes of the young	K12407	0.2810839337629369
ko00001	09100 Metabolism	0.0036442611730322
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	2.220446049250313e-16
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	0.0198049021003687
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	0.1175605351086672
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	0.0987139518936382
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	0.0102897962825976
09183 Protein families: signaling and cellular processes	ko04147	0.0042626455261537
ko04147	K01810	0.1066944959472507
09100 Metabolism	09101 Carbohydrate metabolism	2.220446049250313e-16
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	0.0750170519729813
00520 Amino sugar and nucleotide sugar metabolism	K06859	0.2760768262433747
00520 Amino sugar and nucleotide sugar metabolism	K13810	0.1829678495710371
00520 Amino sugar and nucleotide sugar metabolism	K15916	0.2061572468526065
09100 Metabolism	09102 Energy metabolism	0.1299781630257739
09102 Energy metabolism	00680 Methane metabolism	2.220446049250313e-16
00680 Methane metabolism	K24182	0.30445995406089
09182 Protein families: genetic information processing	ko03019	0.0017518298613392
ko03019	K00850	0.1231425774430812
00680 Methane metabolism	K16370	0.1798862380576861
00680 Methane metabolism	K21071	0.1322074188274958
00680 Methane metabolism	K00918	0.2318801990513203
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	2.220446049250313e-16
00051 Fructose and mannose metabolism	K00895	0.2152127083691778
ko04147	K03841	0.1625768372332521
00680 Methane metabolism	K02446	0.1748755888074176
00680 Methane metabolism	K11532	0.2175317555754256
00680 Methane metabolism	K01086	0.3002885356083429
00680 Methane metabolism	K04041	0.1728355887083831
ko04147	K01623	0.1839584822525609
00680 Methane metabolism	K11645	0.1886758669511759
00680 Methane metabolism	K01624	0.1332265555536648
00680 Methane metabolism	K01622	0.2493319556147764
09100 Metabolism	09105 Amino acid metabolism	0.0628878812276817
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	2.220446049250313e-16
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305	0.4407321615427399
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306	0.210421444004151
ko04147	K01803	0.1113146791184192
ko04147	K00134	0.1218194493965672
09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis	0.0139904886084952
00010 Glycolysis / Gluconeogenesis	K10705	0.3352176548197472
09102 Energy metabolism	00710 Carbon fixation in photosynthetic organisms	2.220446049250313e-16
00710 Carbon fixation in photosynthetic organisms	K00150	0.1957254023896845
ko04147	K00927	0.1077326846665067
ko04147	K01834	0.1544324436540244
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism	2.220446049250313e-16
00260 Glycine, serine and threonine metabolism	K15634	0.171363073764432
00260 Glycine, serine and threonine metabolism	K15633	0.1273800341649277
00260 Glycine, serine and threonine metabolism	K15635	0.1748035733110416
ko04147	K01689	0.1209801425723434
ko04147	K00873	0.0816798696264043
ko04147	K12406	0.4884655144580926
09102 Energy metabolism	00720 Carbon fixation pathways in prokaryotes	0.0124059355313368
00720 Carbon fixation pathways in prokaryotes	K01006	0.1057148536061705
00680 Methane metabolism	K01007	0.1146351574152929
09101 Carbohydrate metabolism	00620 Pyruvate metabolism	2.220446049250313e-16
00620 Pyruvate metabolism	K00163	0.1260275014406432
09160 Human Diseases	09166 Cardiovascular disease	0.0163293521911177
09166 Cardiovascular disease	05415 Diabetic cardiomyopathy	2.220446049250313e-16
05415 Diabetic cardiomyopathy	K00161	0.1436930840270434
05415 Diabetic cardiomyopathy	K00162	0.1630862698067912
00620 Pyruvate metabolism	K00627	0.088784968353341
ko04147	K00382	0.0827026292545486
09100 Metabolism	09112 Not included in regular maps	0.1023350982373976
09112 Not included in regular maps	09113 Global maps only	0.1023350982373976
09113 Global maps only	K13997	0.1023350982373976
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism	0.0209434314939792
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation	0.0096437860452683
00633 Nitrotoluene degradation	K00169	0.1705752416948852
00633 Nitrotoluene degradation	K00170	0.2172835228545311
00633 Nitrotoluene degradation	K00172	0.2190761862584513
00633 Nitrotoluene degradation	K00189	0.4691718784026115
00633 Nitrotoluene degradation	K00171	0.34937430547444
00720 Carbon fixation pathways in prokaryotes	K03737	0.119753338091177
00720 Carbon fixation pathways in prokaryotes	K00174	0.1204016085853804
00720 Carbon fixation pathways in prokaryotes	K00175	0.1666160148623729
ko04147	K00016	0.1390133643735827
00010 Glycolysis / Gluconeogenesis	K01568	0.1658474177079263
09167 Endocrine and metabolic disease	04936 Alcoholic liver disease	2.220446049250313e-16
04936 Alcoholic liver disease	K13951	0.2965662590913189
04936 Alcoholic liver disease	K13980	0.2326552777809473
04936 Alcoholic liver disease	K00121	0.0986892517315206
04936 Alcoholic liver disease	K13952	0.2773596123098761
09160 Human Diseases	09174 Infectious disease: parasitic	0.0309218491306966
09174 Infectious disease: parasitic	05146 Amoebiasis	2.220446049250313e-16
05146 Amoebiasis	K04072	0.1536415389495952
09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450	0.0205355222775954
00982 Drug metabolism - cytochrome P450	K13953	0.1080898392449182
09111 Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation	0.0317862878893706
00626 Naphthalene degradation	K13954	0.2169303083018502
09105 Amino acid metabolism	00350 Tyrosine metabolism	2.220446049250313e-16
00350 Tyrosine metabolism	K18857	0.3594515290006794
00982 Drug metabolism - cytochrome P450	K00001	0.1322022769799503
ko04147	K00002	0.1776186821119689
09100 Metabolism	09109 Metabolism of terpenoids and polyketides	0.0310466461697812
09109 Metabolism of terpenoids and polyketides	00281 Geraniol degradation	0.0333402798114664
00281 Geraniol degradation	K12957	0.2630149583013089
09100 Metabolism	09103 Lipid metabolism	0.0031808718495611
09103 Lipid metabolism	00561 Glycerolipid metabolism	0.0115019317034281
00561 Glycerolipid metabolism	K13979	0.1835685552223873
09111 Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation	0.102031178405974
00625 Chloroalkane and chloroalkene degradation	K14028	0.2873328458877533
00625 Chloroalkane and chloroalkene degradation	K14029	0.3371864498806167
00625 Chloroalkane and chloroalkene degradation	K00114	0.1310981088645997
00620 Pyruvate metabolism	K04022	0.4843840945518747
00620 Pyruvate metabolism	K22473	0.4556923020968219
00620 Pyruvate metabolism	K22474	0.2692483518938928
