#parent	child	edge_length
ko00001	09180 Brite Hierarchies	0.1400919116340686
09180 Brite Hierarchies	09182 Protein families: genetic information processing	-0.012920811140083421
09182 Protein families: genetic information processing	ko04131	-0.009878157220704509
ko04131	K00844	0.13397348141386678
ko00001	09160 Human Diseases	-0.15792704164124038
09160 Human Diseases	09167 Endocrine and metabolic disease	0.11191818519770264
09167 Endocrine and metabolic disease	04950 Maturity onset diabetes of the young	0.03619113861724782
04950 Maturity onset diabetes of the young	K12407	0.28108393376293694
ko00001	09100 Metabolism	0.0036442611730322927
09100 Metabolism	09110 Biosynthesis of other secondary metabolites	-0.0038803362124821827
09110 Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis	0.019804902100368782
00524 Neomycin, kanamycin and gentamicin biosynthesis	K00845	0.11756053510866726
00524 Neomycin, kanamycin and gentamicin biosynthesis	K25026	0.09871395189363824
09180 Brite Hierarchies	09183 Protein families: signaling and cellular processes	0.010289796282597685
09183 Protein families: signaling and cellular processes	ko04147	0.004262645526153741
ko04147	K01810	0.10669449594725078
09100 Metabolism	09101 Carbohydrate metabolism	-0.020597971424874073
09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism	0.07501705197298131
00520 Amino sugar and nucleotide sugar metabolism	K06859	0.27607682624337476
00520 Amino sugar and nucleotide sugar metabolism	K13810	0.18296784957103718
00520 Amino sugar and nucleotide sugar metabolism	K15916	0.20615724685260656
09100 Metabolism	09102 Energy metabolism	0.12997816302577392
09102 Energy metabolism	00680 Methane metabolism	-0.03635720272282306
00680 Methane metabolism	K24182	0.30445995406089
09182 Protein families: genetic information processing	ko03019	0.0017518298613392047
ko03019	K00850	0.12314257744308127
00680 Methane metabolism	K16370	0.1798862380576861
00680 Methane metabolism	K21071	0.13220741882749587
00680 Methane metabolism	K00918	0.23188019905132035
09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism	-0.02194801719924061
00051 Fructose and mannose metabolism	K00895	0.21521270836917789
ko04147	K03841	0.16257683723325217
00680 Methane metabolism	K02446	0.17487558880741766
00680 Methane metabolism	K11532	0.21753175557542564
00680 Methane metabolism	K01086	0.3002885356083429
00680 Methane metabolism	K04041	0.17283558870838311
ko04147	K01623	0.1839584822525609
00680 Methane metabolism	K11645	0.18867586695117594
00680 Methane metabolism	K01624	0.1332265555536648
00680 Methane metabolism	K01622	0.2493319556147764
09100 Metabolism	09105 Amino acid metabolism	0.06288788122768174
09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis	-0.03376864175978683
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16305	0.4407321615427399
00400 Phenylalanine, tyrosine and tryptophan biosynthesis	K16306	0.21042144400415103
ko04147	K01803	0.11131467911841925
ko04147	K00134	0.12181944939656725
